"Freq [GHz]","dB(ActiveS(1:1)) []"
1,-2.4036019917015
1.01,-2.01280096897008
1.02,-1.69349916201585
1.03,-1.43517895692839
1.04,-1.22638582792026
1.05,-1.0570624302439
1.06,-0.918908015311225
1.07,-0.805289149094889
1.08,-0.711147601326651
1.09,-0.6325009167133
1.1,-0.566282964479212
1.11,-0.510129178908034
1.12,-0.462160942538616
1.13,-0.420907388016142
1.14,-0.385220839578398
1.15,-0.354171455543694
1.16,-0.326989637628089
1.17,-0.30309633845092
1.18,-0.281991502824826
1.19,-0.263273556217764
1.2,-0.246585579466416
1.21,-0.231673155746772
1.22,-0.218292836978929
1.23,-0.206253325899984
1.24,-0.195389727051739
1.25,-0.185552403207447
1.26,-0.176631776617179
1.27,-0.168520895708212
1.28,-0.161132624764526
1.29,-0.154393001666817
1.3,-0.148233324177009
1.31,-0.142600428404748
1.32,-0.1374396532591
1.33,-0.132712740938558
1.34,-0.128379636556111
1.35,-0.124416890995249
1.36,-0.120794313569515
1.37,-0.117485845099132
1.38,-0.114491394794917
1.39,-0.111804382384858
1.4,-0.109444245094045
1.41,-0.107469469535514
1.42,-0.106031581881459
1.43,-0.105441609972547
1.44,-0.105855974145189
1.45,-0.105148842887253
1.46,-0.10179592311501
1.47,-0.0987824975514251
1.48,-0.0967809209008608
1.49,-0.0954164338559927
1.5,-0.0944545476317832
1.51,-0.0937854695375169
1.52,-0.0933612078926497
1.53,-0.0931641714879692
1.54,-0.0931865127383255
1.55,-0.0934346808695642
1.56,-0.0939191246164769
1.57,-0.0946549803536136
1.58,-0.0956659687850708
1.59,-0.0969793156142863
1.6,-0.0986324841354995
1.61,-0.100671831758589
1.62,-0.103153530843172
1.63,-0.106150478464
1.64,-0.1097534193846
1.65,-0.114079138818425
1.66,-0.119275862778169
1.67,-0.12553767466584
1.68,-0.133118690696752
1.69,-0.142358553945112
1.7,-0.153716869364498
1.71,-0.167827547215158
1.72,-0.185584060493837
1.73,-0.208274044990649
1.74,-0.237800573630831
1.75,-0.277069494249242
1.76,-0.330664395491284
1.77,-0.40610980310534
1.78,-0.516313910441218
1.79,-0.684461739504948
1.8,-0.954058346167714
1.81,-1.40795815658157
1.82,-2.18746977412258
1.83,-3.37457526564733
1.84,-4.2479910832736
1.85,-3.56801151927094
1.86,-2.3609451665857
1.87,-1.5273388060008
1.88,-1.0371625326076
1.89,-0.745996954124768
1.9,-0.564758493685584
1.91,-0.446249005642646
1.92,-0.365293855486956
1.93,-0.307918359280093
1.94,-0.265991727215939
1.95,-0.234570340362547
1.96,-0.210528656481392
1.97,-0.191820350195803
1.98,-0.1770656847773
1.99,-0.165308476417815
2,-0.155870357743655
2.01,-0.1482628797741
2.02,-0.142126429373156
2.03,-0.137194124849578
2.04,-0.133265628145182
2.05,-0.130190045591456
2.06,-0.127854516444899
2.07,-0.12617685215935
2.08,-0.125099457366345
2.09,-0.124586657498033
2.1,-0.124624751824739
2.11,-0.125223497186875
2.12,-0.12642133018171
2.13,-0.128292076362647
2.14,-0.130965706578559
2.15,-0.134655618596412
2.16,-0.139711480460359
2.17,-0.146720011137362
2.18,-0.156681979355446
2.19,-0.17133524424785
2.2,-0.193606732458418
2.21,-0.227544138635186
2.22,-0.273832189748188
2.23,-0.313563907273824
2.24,-0.310493269167926
2.25,-0.27289216113259
2.26,-0.236549811801587
2.27,-0.213030015475404
2.28,-0.199945721413302
2.29,-0.19361819155688
2.3,-0.19159398138992
2.31,-0.192445702391109
2.32,-0.195360391736392
2.33,-0.199879820832133
2.34,-0.205749825072541
2.35,-0.212837510162831
2.36,-0.221090899505727
2.37,-0.230516946578508
2.38,-0.241160615003186
2.39,-0.253107607130488
2.4,-0.266472216891047
2.41,-0.281406637509088
2.42,-0.298099348959468
2.43,-0.316775144883167
2.44,-0.337720702151064
2.45,-0.361264042740596
2.46,-0.387820981887462
2.47,-0.417890902621465
2.48,-0.452080573748284
2.49,-0.491140637517934
2.5,-0.536006213632083
2.51,-0.587841104881503
2.52,-0.64811696436442
2.53,-0.718713075067162
2.54,-0.802035139167666
2.55,-0.901232362137388
2.56,-1.02044530132551
2.57,-1.16522081006184
2.58,-1.34305962785517
2.59,-1.56429009530966
2.6,-1.84335549203362
2.61,-2.20082764875135
2.62,-2.66648999149359
2.63,-3.28449826652008
2.64,-4.12188101112965
2.65,-5.28379759468138
2.66,-6.94366994183005
2.67,-9.41089425005167
2.68,-13.2865852390907
2.69,-18.8870929167332
2.7,-16.9274711907572
2.71,-11.7600079723787
2.72,-8.50941592901963
2.73,-6.40675032204025
2.74,-4.97894309611909
2.75,-3.97802060121043
2.76,-3.26145246494087
2.77,-2.74201139279478
2.78,-2.36451068802001
2.79,-2.09376607591682
2.8,-1.90796398852638
2.81,-1.79507231381757
2.82,-1.75128008681712
2.83,-1.78106886845149
2.84,-1.89894138318726
2.85,-2.13287722099171
2.86,-2.5282449952821
2.87,-3.14357007399854
2.88,-4.00264840927924
2.89,-4.91821215104068
2.9,-5.29278279633605
2.91,-4.72768141356641
2.92,-3.72567040348576
2.93,-2.82377491349257
2.94,-2.15684149208957
2.95,-1.68811586608074
2.96,-1.35826384942305
2.97,-1.12155636263086
2.98,-0.947451104607509
2.99,-0.816187433024133
3,-0.714948191080933
