"Freq [GHz]","dB(ActiveS(1:1)) []"
1,-0.0105523206360913
1.01,-0.0108094942814997
1.02,-0.0110774569604672
1.03,-0.011356819565483
1.04,-0.0116483513202646
1.05,-0.0119527175528456
1.06,-0.0122707407517048
1.07,-0.0126032817028368
1.08,-0.0129512569057163
1.09,-0.013315835807645
1.1,-0.0136979620926937
1.11,-0.0140988392664354
1.12,-0.0145197260571028
1.13,-0.0149622765138091
1.14,-0.0154278540252111
1.15,-0.0159182071779123
1.16,-0.016435194541186
1.17,-0.0169809519713111
1.18,-0.0175576260160893
1.19,-0.0181677822074319
1.2,-0.0188141054705545
1.21,-0.0194997117313893
1.22,-0.0202279883310434
1.23,-0.0210025790304718
1.24,-0.0218278347210226
1.25,-0.0227083357580923
1.26,-0.0236493845897994
1.27,-0.0246568467392953
1.28,-0.0257373679517436
1.29,-0.0268986364387334
1.3,-0.0281490867145882
1.31,-0.0294984840668307
1.32,-0.0309580200958314
1.33,-0.0325405777852818
1.34,-0.0342609038951791
1.35,-0.0361364489433892
1.36,-0.0381873287629464
1.37,-0.0404374482242712
1.38,-0.0429153308057758
1.39,-0.045655448453972
1.4,-0.0487003354769673
1.41,-0.0521039356901744
1.42,-0.0559374654644807
1.43,-0.0603013637145332
1.44,-0.0653490585960842
1.45,-0.0713392143173755
1.46,-0.0786787140717514
1.47,-0.0873629459251061
1.48,-0.0952183825847359
1.49,-0.102369860670134
1.5,-0.111586360304331
1.51,-0.123408618248724
1.52,-0.137993760983926
1.53,-0.155815597187499
1.54,-0.177687089814599
1.55,-0.204815827104698
1.56,-0.238955953777318
1.57,-0.282683991475787
1.58,-0.339877074671539
1.59,-0.41655422009824
1.6,-0.522415582100669
1.61,-0.673786415172633
1.62,-0.89953959980542
1.63,-1.25363598815719
1.64,-1.84269512779973
1.65,-2.88531763113887
1.66,-4.7999885997931
1.67,-7.81249673704712
1.68,-8.37890519959895
1.69,-5.37623693294883
1.7,-3.21906731404922
1.71,-2.03786403400122
1.72,-1.37730562993866
1.73,-0.984969034432215
1.74,-0.737633878143602
1.75,-0.573495827848164
1.76,-0.459826601936736
1.77,-0.37830056357827
1.78,-0.318121215708633
1.79,-0.272637954555901
1.8,-0.237592680045658
1.81,-0.210166854074731
1.82,-0.188440448111316
1.83,-0.171072951517103
1.84,-0.15710857961489
1.85,-0.145853822156227
1.86,-0.13679832219256
1.87,-0.129562609515564
1.88,-0.12386287620119
1.89,-0.119486838263425
1.9,-0.116277043696679
1.91,-0.114119279842825
1.92,-0.112934560914795
1.93,-0.112673754299008
1.94,-0.113314221225441
1.95,-0.114858093614807
1.96,-0.117331997266102
1.97,-0.120788169137541
1.98,-0.125307052147288
1.99,-0.131001603665144
2,-0.138023724814889
2.01,-0.146573464373118
2.02,-0.156911989035266
2.03,-0.169379825247963
2.04,-0.184422661498175
2.05,-0.202628235092585
2.06,-0.22477982693505
2.07,-0.25193516840322
2.08,-0.285545162594871
2.09,-0.327636465862468
2.1,-0.381099239357574
2.11,-0.45015229387506
2.12,-0.541123089524564
2.13,-0.663774886420512
2.14,-0.833680330649663
2.15,-1.07653320192105
2.16,-1.43614761197749
2.17,-1.98897311288516
2.18,-2.86661961142849
2.19,-4.26301575617713
2.2,-6.22878832220574
2.21,-7.57854566528581
2.22,-6.41860206001652
2.23,-4.43328343639555
2.24,-2.98532647931382
2.25,-2.07282478286116
2.26,-1.50047698541519
2.27,-1.13137155450736
2.28,-0.885830683936718
2.29,-0.718707190626204
2.3,-0.604398128242726
2.31,-0.528784645878617
2.32,-0.485310701429727
2.33,-0.473371694035798
2.34,-0.496912782663381
2.35,-0.556341515711367
2.36,-0.618842573851021
2.37,-0.605280321931143
2.38,-0.503752497885839
2.39,-0.389884175533753
2.4,-0.303246422370627
2.41,-0.243349017169956
2.42,-0.201728670152143
2.43,-0.171804258804464
2.44,-0.149451539281443
2.45,-0.132168588466686
2.46,-0.118411141560442
2.47,-0.107194766578375
2.48,-0.0978694674310565
2.49,-0.0899911700381208
2.5,-0.0832469118023579
2.51,-0.0774098964357509
2.52,-0.0723116821269899
2.53,-0.0678244303977075
2.54,-0.0638492920112801
2.55,-0.0603085698365068
2.56,-0.0571403378194624
2.57,-0.0542946480941125
2.58,-0.0517308154281623
2.59,-0.0494154376911004
2.6,-0.0473209328217194
2.61,-0.0454242177832291
2.62,-0.0437070583301862
2.63,-0.0421530976919881
2.64,-0.0407497765350716
2.65,-0.0394867914160095
2.66,-0.0383561273675359
2.67,-0.037351907262573
2.68,-0.0364703826556877
2.69,-0.0357099523462985
2.7,-0.035071341913111
2.71,-0.0345578838609557
2.72,-0.0341759670762298
2.73,-0.0339357071467156
2.74,-0.0338519118984553
2.75,-0.0339454900032353
2.76,-0.0342454828775571
2.77,-0.0347920499422098
2.78,-0.0356408970054281
2.79,-0.0368699683873122
2.8,-0.0385897293640673
2.81,-0.0409593174377597
2.82,-0.0442123815253201
2.83,-0.0486991900550415
2.84,-0.05495601139284
2.85,-0.0638187718382077
2.86,-0.0765998069120987
2.87,-0.0953123689081078
2.88,-0.122717307890272
2.89,-0.161127201960583
2.9,-0.207021480783076
2.91,-0.241267704692081
2.92,-0.237632596423518
2.93,-0.199743355941847
2.94,-0.154793626021476
2.95,-0.118410038511076
2.96,-0.0924511781914374
2.97,-0.0744592878831797
2.98,-0.0618881468410463
2.99,-0.0529208092692262
3,-0.0463719679865829
