"Freq [GHz]","dB(ActiveS(1:1)) [] - ancho_parche='20mm' largo_parche='30mm'","dB(ActiveS(1:1)) [] - ancho_parche='20mm' largo_parche='40mm'","dB(ActiveS(1:1)) [] - ancho_parche='20mm' largo_parche='50mm'","dB(ActiveS(1:1)) [] - ancho_parche='30mm' largo_parche='30mm'","dB(ActiveS(1:1)) [] - ancho_parche='30mm' largo_parche='40mm'","dB(ActiveS(1:1)) [] - ancho_parche='30mm' largo_parche='50mm'","dB(ActiveS(1:1)) [] - ancho_parche='40mm' largo_parche='30mm'","dB(ActiveS(1:1)) [] - ancho_parche='40mm' largo_parche='40mm'","dB(ActiveS(1:1)) [] - ancho_parche='40mm' largo_parche='50mm'"
2,-0.146206507464039,-0.143854746914994,-0.179873946625568,-0.173688522539454,-0.845663191664414,-0.706055476724607,-0.0769681350902425,-0.0682320576530773,-0.0679882808154192
2.025,-0.164888320968869,-0.159446513536959,-0.206396637522707,-0.21101349842283,-1.89267472447332,-1.66902538481095,-0.0729071635410875,-0.0702162431212895,-0.0678539407312438
2.05,-0.189842117476704,-0.17862420287471,-0.240689832883455,-0.267470656185759,-5.4051317175301,-4.05290288705587,-0.0697889360787593,-0.0760700002173964,-0.0683343249624782
2.075,-0.222963579905542,-0.20249947629367,-0.286004372918592,-0.358578525448703,-4.85525091442751,-2.283990060383,-0.0674155911526003,-0.0922163528976353,-0.0694235757035093
2.1,-0.26766609082008,-0.232652487082187,-0.347471220430985,-0.519105139938689,-1.75014550470482,-0.924691760544843,-0.0656479346706877,-0.141833846546408,-0.0711555522304526
2.125,-0.329683207352346,-0.271384576670413,-0.433545058102697,-0.839093669313089,-0.833198175747675,-0.503879546457847,-0.0643871611073922,-0.205840550997871,-0.0736042270529221
2.15,-0.418926070577312,-0.322145531181421,-0.558890828682998,-1.60200682366177,-0.500994089665642,-0.343257190684333,-0.0635630443390344,-0.129168141803204,-0.0768925863886621
2.175,-0.5535205315588,-0.390279844210729,-0.750565593316056,-3.93360109456091,-0.352872311829459,-0.27237030717197,-0.0631264070360129,-0.0895472541837495,-0.0812111737744901
2.2,-0.769193227360817,-0.48439032991664,-1.06236802187825,-10.2859505957119,-0.278506497085738,-0.241082123987275,-0.0630442754304755,-0.0765697078971935,-0.0868518257953323
2.225,-1.14339931761975,-0.618961362955495,-1.61140725215587,-4.58933748147231,-0.239794267697824,-0.231993649390804,-0.0632969179069508,-0.071905707473058,-0.0942682013288354
2.25,-1.86562847581098,-0.819710705587252,-2.68156198742002,-1.86451541140877,-0.221330222265439,-0.239611976293816,-0.0638763925093746,-0.0704860168981299,-0.104189860463685
2.275,-3.47652333524112,-1.13521945661085,-5.05081279444757,-0.984795386367216,-0.216392838250203,-0.265817923401692,-0.0647866329457444,-0.0706904641580341,-0.117848155562914
2.3,-7.90040122524817,-1.66409507018988,-11.105639025859,-0.623890618212531,-0.222255938798475,-0.324672093345572,-0.0660457241100639,-0.0719120610711946,-0.137459983718229
