"Frequency";"S11-Gain (dB)";"S11-Phase (°)";"S11-S-Real";"S11-S-Imaginary"
"1e+08";"-1.700935392757965";"-68.11632912469486";"0.30643602202300946";"-0.7629117506498934"
"100500000";"-1.781078807029958";"-69.54410931679341";"0.2846925246408256";"-0.7632354685988779"
"1.01e+08";"-1.8590463745950478";"-70.50641272707871";"0.26940499873995905";"-0.7610469375966871"
"101500000";"-1.8707635811683092";"-70.43543042608596";"0.2699831824173643";"-0.759687090261998"
"1.02e+08";"-1.8472923034637758";"-70.47682754354265";"0.27016328395437383";"-0.7619381123379458"
"102500000";"-2.0954925572130048";"-72.06943407157189";"0.24187144543447456";"-0.7474847742665226"
"1.03e+08";"-1.9065944159921655";"-73.3563295835388";"0.22997025385816408";"-0.7692777656728907"
"103500000";"-1.9583052035555224";"-74.73695273403446";"0.21011381861801598";"-0.7699975691792582"
"1.04e+08";"-1.8415359506686215";"-75.36689819450825";"0.20436445773844017";"-0.7827131409707712"
"104500000";"-1.9607654942401165";"-76.25956184290212";"0.18952601549428366";"-0.7750891417615428"
"1.05e+08";"-1.8658935177675677";"-76.37364351803083";"0.1900468592799085";"-0.7839814437104935"
"105500000";"-2.061868574650479";"-78.52629894147324";"0.1568848215466127";"-0.7729293289732789"
"1.06e+08";"-2.17832089343586";"-78.54329264380193";"0.15456929158451735";"-0.7626816479907745"
"106500000";"-1.9055684202352265";"-79.5612382835626";"0.14549318226444508";"-0.7897206157835844"
"1.07e+08";"-2.0525600092361946";"-79.96112815229749";"0.13762899218667246";"-0.7774480916173218"
"107500000";"-2.064405383190864";"-81.30068561479798";"0.11925379787692234";"-0.7793894340050013"
"1.08e+08";"-2.0248992584852683";"-81.19522299226347";"0.12123837144044544";"-0.7827205794489184"
"108500000";"-2.1127848488937992";"-82.23114276390183";"0.10598970471309917";"-0.7768839737151162"
"1.09e+08";"-2.150729912678103";"-83.3346957891132";"0.09061098530435582";"-0.7753864269991757"
"109500000";"-2.1722569989318647";"-84.19907434112928";"0.07870813114105728";"-0.7747426184547443"
