"Freq [GHz]","dB(ActiveS(1:1)) []"
1,-0.843153440493392
1.01,-0.727914059064582
1.02,-0.66185842742352
1.03,-0.63218825401794
1.04,-0.631345538436147
1.05,-0.655888879814665
1.06,-0.705605669988502
1.07,-0.783185727060312
1.08,-0.894454720653599
1.09,-1.04927044251553
1.1,-1.26323200730258
1.11,-1.56074513408125
1.12,-1.98021800405862
1.13,-2.58302785029644
1.14,-3.46888157122043
1.15,-4.80261704392227
1.16,-6.86103982055938
1.17,-10.0935082949084
1.18,-14.5822799882679
1.19,-14.6594721361617
1.2,-10.460130530053
1.21,-7.47209447539339
1.22,-5.56863867294493
1.23,-4.31868802115753
1.24,-3.4696910543452
1.25,-2.87684065604377
1.26,-2.4543426156605
1.27,-2.14980471697115
1.28,-1.93053496041563
1.29,-1.77596405687368
1.3,-1.67333437667387
1.31,-1.61516603871384
1.32,-1.59761203358491
1.33,-1.61900624457415
1.34,-1.67771705147093
1.35,-1.76798823265868
1.36,-1.87255533681515
1.37,-1.95455256994821
1.38,-1.9617922279821
1.39,-1.85871365086806
1.4,-1.66201559900624
1.41,-1.42794629887896
1.42,-1.20716701611003
1.43,-1.02320609561763
1.44,-0.878996614669302
1.45,-0.76873374196926
1.46,-0.684888659971211
1.47,-0.620866966546917
1.48,-0.57157875454224
1.49,-0.533285140858756
1.5,-0.503286898731069
1.51,-0.479639292473725
1.52,-0.460933364003589
1.53,-0.44613887590862
1.54,-0.434494470257074
1.55,-0.425431413707056
1.56,-0.418520598593289
1.57,-0.413435487255968
1.58,-0.409925973863324
1.59,-0.407799787239409
1.6,-0.406909126864783
1.61,-0.407140983273196
1.62,-0.408410078425957
1.63,-0.410653690597196
1.64,-0.41382786001721
1.65,-0.41790461849489
1.66,-0.422869994746496
1.67,-0.428722617911657
1.68,-0.435472801437369
1.69,-0.443142010152198
1.7,-0.45176264826819
1.71,-0.461378341312993
1.72,-0.472043742352994
1.73,-0.48382616240614
1.74,-0.496805608326518
1.75,-0.511076468579181
1.76,-0.526749010290929
1.77,-0.543951348548757
1.78,-0.562831861920466
1.79,-0.583562142079444
1.8,-0.606340581325143
1.81,-0.631396713936325
1.82,-0.658996528609656
1.83,-0.689448911334317
1.84,-0.723113531849223
1.85,-0.760410516530613
1.86,-0.801832367884329
1.87,-0.847958712684475
1.88,-0.899474836680008
1.89,-0.957193716725667
1.9,-1.02208671199732
1.91,-1.09531827779022
1.92,-1.17829340528023
1.93,-1.27271712178506
1.94,-1.38067152596686
1.95,-1.5047160358349
1.96,-1.64801884762887
1.97,-1.81453037999182
1.98,-2.00921716163607
1.99,-2.23837101177966
2,-2.51003991346241
2.01,-2.83461811423972
2.02,-3.22568015279192
2.03,-3.70119040460029
2.04,-4.28530850895261
2.05,-5.01122112603449
2.06,-5.92587085097475
2.07,-7.09854395111904
2.08,-8.63824830201575
2.09,-10.734058299448
2.1,-13.7674148973657
2.11,-18.7083152853814
2.12,-27.1675333851188
2.13,-20.5486356359797
2.14,-14.7415114191574
2.15,-11.3253928120193
2.16,-9.01424070523655
2.17,-7.33531844358334
2.18,-6.06580264015604
2.19,-5.08108092886139
2.2,-4.30334374622156
2.21,-3.68040132679835
2.22,-3.17556721648608
2.23,-2.76222846667906
2.24,-2.42064935493894
2.25,-2.13595252647963
2.26,-1.89677646133463
2.27,-1.69434928565506
2.28,-1.52183293984503
2.29,-1.37384983289075
2.3,-1.24613618211731
2.31,-1.13528516788146
2.32,-1.03855471155848
2.33,-0.953722322325269
2.34,-0.878974638667105
2.35,-0.812822689624933
2.36,-0.754036411068996
2.37,-0.701593769078431
2.38,-0.654640846791684
2.39,-0.612460437889248
2.4,-0.574447107551666
2.41,-0.540087338959185
2.42,-0.508943564791426
2.43,-0.480641299585205
2.44,-0.454858722920103
2.45,-0.431318151764855
2.46,-0.409779090396202
2.47,-0.390032479346699
2.48,-0.371895963748364
2.49,-0.355209946737727
2.5,-0.339834315173336
2.51,-0.325645680592894
2.52,-0.312535071873783
2.53,-0.300405989374346
2.54,-0.289172746529175
2.55,-0.278759073637066
2.56,-0.269096924545305
2.57,-0.260125450199387
2.58,-0.251790125465463
2.59,-0.244041999426534
2.6,-0.236837044588786
2.61,-0.230135594458322
2.62,-0.223901861037974
2.63,-0.218103511345579
2.64,-0.212711302584221
2.65,-0.20769876039528
2.66,-0.203041897560697
2.67,-0.198718973721897
2.68,-0.194710274874125
2.69,-0.190997927362996
2.7,-0.187565731427072
2.71,-0.184399009325973
2.72,-0.181484480062144
2.73,-0.178810138974168
2.74,-0.176365156438752
2.75,-0.174139786749444
2.76,-0.172125281896792
2.77,-0.170313823334512
2.78,-0.168698452620945
2.79,-0.167273015796978
2.8,-0.166032110869548
2.81,-0.164971042171662
2.82,-0.164085782558626
2.83,-0.163372937951513
2.84,-0.162829720373557
2.85,-0.162453923994511
2.86,-0.162243906670175
2.87,-0.162198578121688
2.88,-0.162317389647345
2.89,-0.162600331644473
2.9,-0.163047934055052
2.91,-0.163661272018619
2.92,-0.164441975886947
2.93,-0.165392246589176
2.94,-0.166514875436871
2.95,-0.167813263833479
2.96,-0.169291479869113
2.97,-0.170954242875459
2.98,-0.172807011204713
2.99,-0.174856039136118
3,-0.177108364173142
