"Freq [GHz]","dB(S(1,1)) []"
0.015,-13.3722687762946
0.0183,-13.3825795246435
0.0216,-13.390369209754
0.0249,-13.3966397136268
0.0282,-13.4018628844868
0.0315,-13.4063003737186
0.0348,-13.4101199074645
0.0381,-13.4134408971127
0.0414,-13.4163539153751
0.0447,-13.4189300192825
0.048,-13.4212259013276
0.0513,-13.4232871740611
0.0546,-13.4251507061204
0.0579,-13.4268463962138
0.0612,-13.4283985651107
0.0645,-13.4298270631681
0.0678,-13.4311481556555
0.0711,-13.4323752309672
0.0744,-13.4335193667641
0.0777,-13.4345897821172
0.081,-13.4355941983417
0.0843,-13.4365391268572
0.0876,-13.4374300988397
0.0909,-13.4382718485149
0.0942,-13.4390684595642
0.0975,-13.4398234822009
0.1008,-13.4405693840613
0.1041,-13.4413603812906
0.1074,-13.4421022517317
0.1107,-13.4427993222023
0.114,-13.4434554919679
0.1173,-13.4440742752013
0.1206,-13.4446588398676
0.1239,-13.4452120430799
0.1272,-13.4457364630729
0.1305,-13.446234428
0.1338,-13.4467080417942
0.1371,-13.4471592073399
0.1404,-13.4475896472044
0.1437,-13.4480009221658
0.147,-13.4483944477619
0.1503,-13.448771509066
0.1536,-13.4491332738788
0.1569,-13.4494808045094
0.1602,-13.4498150682964
0.1635,-13.4501369470122
0.1668,-13.4504472452699
0.1701,-13.4507466980459
0.1734,-13.451035977415
0.1767,-13.4513156985853
0.18,-13.4515864253092
0.1833,-13.4518486747406
0.1866,-13.4521029217969
0.1899,-13.4523496030811
0.1932,-13.45258912041
0.1965,-13.4528218439919
0.1998,-13.4530481152909
0.2031,-13.45326824961
0.2064,-13.4534825384238
0.2097,-13.4536912514855
0.213,-13.4538946387332
0.2163,-13.4540929320139
0.2196,-13.4542863466457
0.2229,-13.4544750828339
0.2262,-13.4546593269541
0.2295,-13.4548392527186
0.2328,-13.4550150222347
0.2361,-13.4551867869666
0.2394,-13.4553546886112
0.2427,-13.4555188598935
0.246,-13.455679425293
0.2493,-13.4558365017037
0.2526,-13.455990199037
0.2559,-13.4561406207711
0.2592,-13.4562878644531
0.2625,-13.4564320221567
0.2658,-13.4565731809014
0.2691,-13.4567114230346
0.2724,-13.4568468265823
0.2757,-13.4569794655692
0.279,-13.457109410312
0.2823,-13.4572367276884
0.2856,-13.4573614813834
0.2889,-13.4574837321147
0.2922,-13.4576035378407
0.2955,-13.45772095395
0.2988,-13.4578360334363
0.3021,-13.4579488270592
0.3054,-13.4580593834911
0.3087,-13.4581677494535
0.312,-13.4582739698415
0.3153,-13.4583780878388
0.3186,-13.4584801450235
0.3219,-13.4585801814661
0.3252,-13.4586782358191
0.3285,-13.4587743454001
0.3318,-13.4588685462686
0.3351,-13.458960873297
0.3384,-13.4590513602357
0.3417,-13.4591400397741
0.345,-13.4592269435963
0.3483,-13.4593121024334
0.3516,-13.4593955461116
0.3549,-13.4594773035968
0.3582,-13.4595574030362
0.3615,-13.4596358717967
0.3648,-13.459712736501
0.3681,-13.459788023061
0.3714,-13.4598617567085
0.3747,-13.459933962025
0.378,-13.4600046629679
0.3813,-13.4600738828964
0.3846,-13.460141644595
0.3879,-13.4602079702959
0.3912,-13.4602728816992
0.3945,-13.4603363999932
0.3978,-13.4603985458721
0.4011,-13.4604593395535
0.4044,-13.4605188007948
0.4077,-13.4605769489079
0.411,-13.4606338027747
0.4143,-13.4606893808595
0.4176,-13.460743701223
0.4209,-13.460796781534
0.4242,-13.4608486390811
0.4275,-13.4608992907837
0.4308,-13.4609487532027
0.4341,-13.4609970425503
0.4374,-13.4610441746996
0.4407,-13.4610901651936
0.444,-13.4611350292542
0.4473,-13.4611787817899
0.4506,-13.4612214374044
0.4539,-13.4612630104041
0.4572,-13.4613035148051
0.4605,-13.4613429643404
0.4638,-13.4613813724671
0.4671,-13.4614187523721
0.4704,-13.4614551169794
0.4737,-13.4614904789551
0.477,-13.4615248507142
0.4803,-13.4615582444258
0.4836,-13.4615906720184
0.4869,-13.4616221451859
0.4902,-13.4616526753921
0.4935,-13.4616822738759
0.4968,-13.4617109516562
0.5001,-13.4617387195366
0.5034,-13.46176558811
0.5067,-13.4617915677629
0.51,-13.4618166686799
0.5133,-13.4618409008479
0.5166,-13.46186427406
0.5199,-13.4618867979197
0.5232,-13.4619084818448
0.5265,-13.4619293350712
0.5298,-13.4619493666564
0.5331,-13.4619685854834
0.5364,-13.4619870002641
0.5397,-13.4620046195427
0.543,-13.4620214516993
0.5463,-13.4620375049531
0.5496,-13.4620527873652
0.5529,-13.4620673068427
0.5562,-13.4620810711408
0.5595,-13.4620940878663
0.5628,-13.4621063644808
0.5661,-13.4621179083029
0.5694,-13.4621287265117
0.5727,-13.4621388261491
0.576,-13.462148214123
0.5793,-13.4621568972094
0.5826,-13.4621648820553
0.5859,-13.4621721751813
0.5892,-13.4621787829841
0.5925,-13.4621847117387
0.5958,-13.4621899676011
0.5991,-13.4621945566105
0.6024,-13.4621984846916
0.6057,-13.4622017576568
0.609,-13.4622043812086
0.6123,-13.4622063609418
0.6156,-13.4622077023451
0.6189,-13.462208410804
0.6222,-13.4622084916022
0.6255,-13.4622079499237
0.6288,-13.4622067908553
0.6321,-13.4622050193876
0.6354,-13.4622026404177
0.6387,-13.4621996587507
0.642,-13.4621960791016
0.6453,-13.4621919060969
0.6486,-13.4621871442765
0.6519,-13.4621817980956
0.6552,-13.4621758719259
0.6585,-13.4621693700576
0.6618,-13.4621622967009
0.6651,-13.4621546559878
0.6684,-13.4621464519731
0.6717,-13.4621376886365
0.675,-13.4621283698838
0.6783,-13.4621184995484
0.6816,-13.4621080813928
0.6849,-13.4620971191098
0.6882,-13.4620856163241
0.6915,-13.4620735765936
0.6948,-13.4620610034108
0.6981,-13.4620479002037
0.7014,-13.4620342703375
0.7047,-13.4620201171158
0.708,-13.4620054437816
0.7113,-13.4619902535187
0.7146,-13.4619745494527
0.7179,-13.4619583346523
0.7212,-13.4619416121304
0.7245,-13.4619243848452
0.7278,-13.461906655701
0.7311,-13.46188842755
0.7344,-13.4618697031923
0.7377,-13.4618504853781
0.741,-13.4618307768075
0.7443,-13.4618105801324
0.7476,-13.4617898979572
0.7509,-13.4617687328394
0.7542,-13.461747087291
0.7575,-13.461724963779
0.7608,-13.4617023647268
0.7641,-13.4616792925144
0.7674,-13.46165574948
0.7707,-13.46163173792
0.774,-13.4616072600907
0.7773,-13.4615823182083
0.7806,-13.4615569144504
0.7839,-13.4615310509561
0.7872,-13.4615047298272
0.7905,-13.4614779531291
0.7938,-13.4614507228908
0.7971,-13.4614230411063
0.8004,-13.4613949097351
0.8037,-13.4613663307028
0.807,-13.4613373059016
0.8103,-13.4613078371916
0.8136,-13.4612779264006
0.8169,-13.4612475753254
0.8202,-13.461216785732
0.8235,-13.4611855593565
0.8268,-13.4611538979055
0.8301,-13.4611218030567
0.8334,-13.4610892764596
0.8367,-13.461056319736
0.84,-13.4610229344804
0.8433,-13.4609891222607
0.8466,-13.4609548846187
0.8499,-13.4609202230705
0.8532,-13.4608851391074
0.8565,-13.4608496341957
0.8598,-13.4608137097779
0.8631,-13.4607773672726
0.8664,-13.4607406080755
0.8697,-13.4607034335593
0.873,-13.4606658450746
0.8763,-13.4606278439502
0.8796,-13.4605894314933
0.8829,-13.4605506089903
0.8862,-13.460511377707
0.8895,-13.460471738889
0.8928,-13.460431693762
0.8961,-13.4603912435325
0.8994,-13.460350389388
0.9027,-13.4603091324972
0.906,-13.4602674740107
0.9093,-13.4602254150611
0.9126,-13.4601829567635
0.9159,-13.4601401002158
0.9192,-13.4600968464988
0.9225,-13.4600531966771
0.9258,-13.4600091517989
0.9291,-13.4599647128964
0.9324,-13.4599198809864
0.9357,-13.4598746570703
0.939,-13.4598290421344
0.9423,-13.4597830371505
0.9456,-13.4597366430759
0.9489,-13.4596898608537
0.9522,-13.4596426914132
0.9555,-13.4595951356701
0.9588,-13.4595471945269
0.9621,-13.4594988688727
0.9654,-13.4594501595841
0.9687,-13.4594010675249
0.972,-13.4593515935469
0.9753,-13.4593017384893
0.9786,-13.45925150318
0.9819,-13.4592008884349
0.9852,-13.4591498950585
0.9885,-13.4590985238445
0.9918,-13.4590467755751
0.9951,-13.4589946510222
0.9984,-13.4589421509468
1.0017,-13.4588892760997
1.005,-13.4588360272218
1.0083,-13.4587824050435
1.0116,-13.4587284102859
1.0149,-13.4586740436603
1.0182,-13.4586193058687
1.0215,-13.4585641976038
1.0248,-13.4585087195494
1.0281,-13.4584528723802
1.0314,-13.4583966567624
1.0347,-13.4583400733536
1.038,-13.4582831228031
1.0413,-13.4582258057517
1.0446,-13.4581681228326
1.0479,-13.4581100746707
1.0512,-13.4580516618832
1.0545,-13.45799288508
1.0578,-13.4579337448631
1.0611,-13.4578742418274
1.0644,-13.4578143765606
1.0677,-13.4577541496434
1.071,-13.4576935616494
1.0743,-13.4576326131455
1.0776,-13.4575713046919
1.0809,-13.4575096368423
1.0842,-13.457447610144
1.0875,-13.4573852251378
1.0908,-13.4573224823587
1.0941,-13.4572593823351
1.0974,-13.4571959255899
1.1007,-13.45713211264
1.104,-13.4570679439963
1.1073,-13.4570034201645
1.1106,-13.4569385416444
1.1139,-13.4568733089306
1.1172,-13.4568077225122
1.1205,-13.4567417828731
1.1238,-13.4566754904922
1.1271,-13.4566088458431
1.1304,-13.4565418493946
1.1337,-13.4564745016106
1.137,-13.4564068029502
1.1403,-13.4563387538679
1.1436,-13.4562703548134
1.1469,-13.456201606232
1.1502,-13.4561325085645
1.1535,-13.4560630622473
1.1568,-13.4559932677126
1.1601,-13.4559231253884
1.1634,-13.4558526356984
1.1667,-13.4557817990623
1.17,-13.4557106158958
1.1733,-13.4556390866108
1.1766,-13.4555672116151
1.1799,-13.4554949913129
1.1832,-13.4554224261045
1.1865,-13.4553495163868
1.1898,-13.4552762625528
1.1931,-13.4552026649921
1.1964,-13.4551287240909
1.1997,-13.4550544402318
1.203,-13.4549798137942
1.2063,-13.4549048451541
1.2096,-13.4548295346842
1.2129,-13.4547538827543
1.2162,-13.4546778897307
1.2195,-13.4546015559767
1.2228,-13.4545248818528
1.2261,-13.4544478677162
1.2294,-13.4543705139214
1.2327,-13.4542928208198
1.236,-13.4542147887602
1.2393,-13.4541364180884
1.2426,-13.4540577091476
1.2459,-13.4539786622781
1.2492,-13.4538992778177
1.2525,-13.4538195561017
1.2558,-13.4537394974625
1.2591,-13.4536591022303
1.2624,-13.4535783707325
1.2657,-13.4534973032942
1.269,-13.4534159002381
1.2723,-13.4533341618846
1.2756,-13.4532520885515
1.2789,-13.4531696805546
1.2822,-13.4530869382071
1.2855,-13.4530038618203
1.2888,-13.4529204517031
1.2921,-13.4528367081622
1.2954,-13.4527526315024
1.2987,-13.4526682220262
1.302,-13.452583480034
1.3053,-13.4524984058242
1.3086,-13.4524129996934
1.3119,-13.4523272619359
1.3152,-13.4522411928443
1.3185,-13.4521547927091
1.3218,-13.452068061819
1.3251,-13.4519810004608
1.3284,-13.4518936089195
1.3317,-13.4518058874783
1.335,-13.4517178364186
1.3383,-13.4516294560199
1.3416,-13.4515407465601
1.3449,-13.4514517083154
1.3482,-13.4513623415603
1.3515,-13.4512726465675
1.3548,-13.4511826236083
1.3581,-13.4510922729521
1.3614,-13.451001594867
1.3647,-13.4509105896193
1.368,-13.4508192574737
1.3713,-13.4507275986936
1.3746,-13.4506356135407
1.3779,-13.4505433022753
1.3812,-13.4504506651562
1.3845,-13.4503577024406
1.3878,-13.4502644143846
1.3911,-13.4501708012424
1.3944,-13.4500768632673
1.3977,-13.4499826007108
1.401,-13.4498880138233
1.4043,-13.4497931028538
1.4076,-13.4496978680498
1.4109,-13.4496023096577
1.4142,-13.4495064279224
1.4175,-13.4494102230878
1.4208,-13.4493136953962
1.4241,-13.4492168450888
1.4274,-13.4491196724056
1.4307,-13.4490221775853
1.434,-13.4489243608654
1.4373,-13.4488262224822
1.4406,-13.4487277626708
1.4439,-13.4486289816651
1.4472,-13.4485298796981
1.4505,-13.4484304570012
1.4538,-13.4483307138051
1.4571,-13.4482306503391
1.4604,-13.4481302668314
1.4637,-13.4480295635093
1.467,-13.4479285405989
