Phi[deg],Theta[deg],dB10normalize(GainTotal)
-180,90,-12.1993
-179,90,-12.1853
-178,90,-12.1414
-177,90,-12.0685
-176,90,-11.968
-175,90,-11.8417
-174,90,-11.6919
-173,90,-11.521
-172,90,-11.3317
-171,90,-11.1265
-170,90,-10.9079
-169,90,-10.6784
-168,90,-10.44
-167,90,-10.1949
-166,90,-9.94484
-165,90,-9.69136
-164,90,-9.43584
-163,90,-9.17948
-162,90,-8.92325
-161,90,-8.66802
-160,90,-8.41449
-159,90,-8.16324
-158,90,-7.91476
-157,90,-7.66942
-156,90,-7.42755
-155,90,-7.1894
-154,90,-6.95515
-153,90,-6.72496
-152,90,-6.49894
-151,90,-6.27716
-150,90,-6.05968
-149,90,-5.84653
-148,90,-5.63772
-147,90,-5.43327
-146,90,-5.23314
-145,90,-5.03734
-144,90,-4.84583
-143,90,-4.65857
-142,90,-4.47555
-141,90,-4.29671
-140,90,-4.12202
-139,90,-3.95144
-138,90,-3.78492
-137,90,-3.62243
-136,90,-3.46393
-135,90,-3.30937
-134,90,-3.15871
-133,90,-3.01192
-132,90,-2.86896
-131,90,-2.7298
-130,90,-2.59439
-129,90,-2.4627
-128,90,-2.33471
-127,90,-2.21037
-126,90,-2.08967
-125,90,-1.97258
-124,90,-1.85905
-123,90,-1.74908
-122,90,-1.64264
-121,90,-1.5397
-120,90,-1.44023
-119,90,-1.34423
-118,90,-1.25167
-117,90,-1.16252
-116,90,-1.07678
-115,90,-0.99442
-114,90,-0.915428
-113,90,-0.839789
-112,90,-0.767486
-111,90,-0.698506
-110,90,-0.632836
-109,90,-0.570463
-108,90,-0.511375
-107,90,-0.455561
-106,90,-0.40301
-105,90,-0.353713
-104,90,-0.307661
-103,90,-0.264845
-102,90,-0.225257
-101,90,-0.18889
-100,90,-0.155737
-99,90,-0.125793
-98,90,-0.0990517
-97,90,-0.0755089
-96,90,-0.0551605
-95,90,-0.0380029
-94,90,-0.0240333
-93,90,-0.0132495
-92,90,-0.00564989
-91,90,-0.00123352
-90,90,0
-89,90,-0.00194958
-88,90,-0.00708311
-87,90,-0.0154021
-86,90,-0.0269085
-85,90,-0.0416051
-84,90,-0.0594951
-83,90,-0.0805823
-82,90,-0.104871
-81,90,-0.132367
-80,90,-0.163075
-79,90,-0.197002
-78,90,-0.234154
-77,90,-0.274539
-76,90,-0.318164
-75,90,-0.365039
-74,90,-0.415171
-73,90,-0.468572
-72,90,-0.52525
-71,90,-0.585217
-70,90,-0.648484
-69,90,-0.715063
-68,90,-0.784967
-67,90,-0.858208
-66,90,-0.934801
-65,90,-1.01476
-64,90,-1.0981
-63,90,-1.18484
-62,90,-1.27499
-61,90,-1.36857
-60,90,-1.46561
-59,90,-1.56611
-58,90,-1.6701
-57,90,-1.7776
-56,90,-1.88863
-55,90,-2.00321
-54,90,-2.12138
-53,90,-2.24315
-52,90,-2.36855
-51,90,-2.49761
-50,90,-2.63035
-49,90,-2.76681
-48,90,-2.90702
-47,90,-3.05101
-46,90,-3.19882
-45,90,-3.35047
-44,90,-3.50601
-43,90,-3.66548
-42,90,-3.82891
-41,90,-3.99633
-40,90,-4.1678
-39,90,-4.34335
-38,90,-4.52301
-37,90,-4.70683
-36,90,-4.89484
-35,90,-5.08707
-34,90,-5.28355
-33,90,-5.48432
-32,90,-5.68937
-31,90,-5.89874
-30,90,-6.1124
-29,90,-6.33035
-28,90,-6.55256
-27,90,-6.77897
-26,90,-7.00951
-25,90,-7.24406
-24,90,-7.48248
-23,90,-7.72457
-22,90,-7.97009
-21,90,-8.21872
-20,90,-8.47009
-19,90,-8.72371
-18,90,-8.979
-17,90,-9.23526
-16,90,-9.49165
-15,90,-9.74717
-14,90,-10.0006
-13,90,-10.2507
-12,90,-10.4958
-11,90,-10.7341
-10,90,-10.9636
-9,90,-11.1821
-8,90,-11.3872
-7,90,-11.5764
-6,90,-11.7471
-5,90,-11.8967
-4,90,-12.0228
-3,90,-12.123
-2,90,-12.1954
-1,90,-12.2387
0,90,-12.252
1,90,-12.2349
2,90,-12.1879
3,90,-12.1118
4,90,-12.0082
5,90,-11.879
6,90,-11.7266
7,90,-11.5533
8,90,-11.3618
9,90,-11.1548
10,90,-10.9346
11,90,-10.7037
12,90,-10.4643
13,90,-10.2184
14,90,-9.96762
15,90,-9.71364
16,90,-9.45778
17,90,-9.20119
18,90,-8.94484
19,90,-8.68955
20,90,-8.43603
21,90,-8.18483
22,90,-7.93642
23,90,-7.69119
24,90,-7.44943
25,90,-7.21139
26,90,-6.97724
27,90,-6.74715
28,90,-6.5212
29,90,-6.29948
30,90,-6.08204
31,90,-5.8689
32,90,-5.66009
33,90,-5.45559
34,90,-5.25541
35,90,-5.05953
36,90,-4.86791
37,90,-4.68052
38,90,-4.49735
