"Frequency";"S11-Gain (dB)";"S11-Phase (°)";"S11-S-Real";"S11-S-Imaginary"
"7e+08";"-5.0111372409757475";"-85.79440729216998";"0.04118676355616963";"-0.5601084777931757"
"7.04e+08";"-5.237896340204383";"-87.01292519224171";"0.02851227673931547";"-0.5464050602126886"
"7.08e+08";"-5.644995937923762";"-90.53007427249214";"-0.004830122010993908";"-0.5220734610851845"
"7.12e+08";"-6.060321879074834";"-92.3629357665895";"-0.02052060086301783";"-0.49729543520154607"
"7.16e+08";"-6.562916236820504";"-94.65822474373455";"-0.038148146952699594";"-0.4681847680242844"
"7.2e+08";"-6.85980852369732";"-98.36567305943737";"-0.06604556308403628";"-0.44912143151414263"
"7.24e+08";"-7.580837568703127";"-100.4528489088445";"-0.07579810895735828";"-0.4108566608425526"
"7.28e+08";"-8.107295315868821";"-101.53305401349584";"-0.07861767519470451";"-0.3852803782885564"
"7.32e+08";"-8.923796718694879";"-105.92011774387261";"-0.09818181277941639";"-0.3442111766324099"
"7.36e+08";"-9.793861352624852";"-107.90216754773763";"-0.09954062539180988";"-0.30814385023911706"
"7.4e+08";"-10.793701727160299";"-109.76399544096085";"-0.0975932871059705";"-0.2716111924883381"
"7.44e+08";"-12.286508895917208";"-110.38769889410952";"-0.08466741748345001";"-0.22781351847682"
"7.48e+08";"-13.759772002321842";"-113.45082682290318";"-0.08163057638153726";"-0.1881789590888293"
"7.52e+08";"-15.129720865319566";"-111.3605452893727";"-0.06381110998138106";"-0.16315739255978137"
"7.56e+08";"-17.23737430078968";"-106.62385451440089";"-0.039321484943436055";"-0.13170099605985275"
"7.6e+08";"-19.133676931493056";"-99.9998431520763";"-0.01918578798225455";"-0.10880975239395588"
"7.64e+08";"-21.21836964511268";"-86.31670985073931";"0.0055833601924050605";"-0.08673282848652913"
"7.68e+08";"-22.759108001883625";"-86.18788193481141";"0.0048391361616438025";"-0.07262441179403518"
"7.72e+08";"-24.646196377923676";"-63.49690484525038";"0.026137537597868833";"-0.0524166989144712"
"7.76e+08";"-23.323638764181123";"-36.820839596553";"0.054599251664968554";"-0.04087643995820801"
"7.8e+08";"-23.791935878698965";"-19.657143155466414";"0.06085918314849404";"-0.02173939784172636"
"7.84e+08";"-22.30843077769962";"4.460651050128825";"0.07642949304226261";"0.005962319897180805"
"7.88e+08";"-19.329420864329578";"10.168042597664675";"0.10632953001493427";"0.019070481705382173"
"7.92e+08";"-17.556877306150835";"16.390310717304224";"0.12709794086097767";"0.03738360407408692"
"7.96e+08";"-16.450696530386786";"20.313178379079883";"0.1411170931292325";"0.05223770009292395"
"8e+08";"-14.088585072728726";"18.985421567239218";"0.18675784120043276";"0.06425273348434489"
"8.04e+08";"-12.808520225928019";"16.78985667329619";"0.21910591322322379";"0.06610965252207181"
