"Frequency";"S11-Gain (dB)";"S11-Phase (°)"
"2e+09";"-18.18406823059692";"-55.12220965963307"
"2001337792";"-18.48580817712671";"-58.14800115259514"
"2002675585";"-18.864010668895926";"-58.01143195226474"
"2004013377";"-19.131910411426244";"-55.163158945862904"
"2005351170";"-18.960717731085715";"-61.517173831949385"
"2006688963";"-19.194688209546925";"-64.38306208045961"
"2008026755";"-19.086408581056634";"-62.31603703344901"
"2009364548";"-18.666615533277803";"-67.64182276333186"
"2010702341";"-19.08146205642049";"-67.7388628748288"
"2012040133";"-18.949812890976332";"-68.84333163829929"
"2013377926";"-20.016839121991286";"-66.37492185764674"
"2014715719";"-19.748077955878976";"-74.47232325010683"
"2016053511";"-19.829917260908132";"-74.0858882292711"
"2017391304";"-20.02280036009061";"-72.04123721045829"
"2018729096";"-19.33167109955723";"-81.58706511920646"
"2020066889";"-20.095884139049186";"-78.9123370728223"
"2021404682";"-20.548206307415494";"-85.16470136884709"
"2022742474";"-19.835820619832386";"-82.1205040449413"
"2024080267";"-19.773299204193815";"-86.71048668530531"
"2025418060";"-20.09776315483078";"-86.21840530325287"
"2026755852";"-19.84552929979965";"-87.11184108683351"
"2028093645";"-20.0946007345501";"-87.15529299458753"
"2029431438";"-20.522620234709894";"-94.8382447669179"
"2030769230";"-20.38790687764368";"-91.09691216299134"
"2032107023";"-20.367342286730082";"-95.12904802900987"
"2033444816";"-20.28511374723076";"-96.28837423301125"
"2034782608";"-20.73641639438136";"-97.794898050856"
"2036120401";"-20.020584127260598";"-102.83548145324899"
"2037458193";"-19.45538397912256";"-101.02561527276339"
"2038795986";"-20.407074235482664";"-103.11992095263426"
"2040133779";"-19.724824221989593";"-109.66764802582756"
"2041471571";"-20.06812516186047";"-102.49453502128897"
"2042809364";"-19.339002098470683";"-102.57502633172315"
"2044147157";"-19.720753454612364";"-109.5272890668051"
"2045484949";"-19.888244271747478";"-106.19186777950382"
"2046822742";"-19.49894094490913";"-113.33946919426309"
"2048160535";"-19.761536317180028";"-109.85741687658714"
"2049498327";"-19.644995645602876";"-117.42744981051476"
"2050836120";"-20.30895169826723";"-113.25964420587258"
"2052173913";"-19.621425492321876";"-117.00407698390605"
"2053511705";"-19.38311831080889";"-115.20330681364507"
"2054849498";"-18.95314004372763";"-120.62951200848971"
"2056187290";"-20.175575095129687";"-118.67337605592098"
"2057525083";"-19.882107033864692";"-122.93343077732075"
"2058862876";"-20.157456470179113";"-122.99921693076928"
"2060200668";"-19.965034984246866";"-126.03341900191916"
"2061538461";"-20.340759721258973";"-124.09496330810025"
"2062876254";"-20.22666216082996";"-128.22559204046092"
"2064214046";"-20.831400649990726";"-128.66015004198235"
"2065551839";"-20.74360914679723";"-134.92423732199205"
"2066889632";"-20.489126518896796";"-130.6835388494738"
"2068227424";"-21.39017706418028";"-136.16143333361032"
"2069565217";"-21.13709115967935";"-142.6186175023006"
"2070903010";"-20.977207560362707";"-136.74271437610335"
"2072240802";"-20.623373012848344";"-144.7238818768977"
"2073578595";"-20.59307076153025";"-144.68199290458256"
"2074916387";"-21.84304386904043";"-144.74276854746682"
"2076254180";"-21.678304690454485";"-143.92085260906376"
"2077591973";"-21.61653098333272";"-150.23207243113706"
"2078929765";"-20.46869930968159";"-150.95493643793236"
"2080267558";"-21.27790997743518";"-159.9631898711312"
"2081605351";"-22.50661846574017";"-155.81472037224398"
"2082943143";"-22.10828735263432";"-154.51447757439877"
"2084280936";"-21.81294099197016";"-159.9787326468597"
"2085618729";"-22.723457265121596";"-171.4598118004743"
"2086956521";"-21.53409837459456";"-177.60411279231914"
"2088294314";"-21.646138034077413";"-175.83253446199845"
"2089632107";"-21.921075935468167";"-169.24557951507313"
"2090969899";"-20.597521258828415";"171.77576540622522"
"2092307692";"-21.282321535507435";"175.5197540486193"
"2093645484";"-21.21796789891374";"172.846435775731"
"2094983277";"-22.05110322781859";"170.31165450654518"
"2096321070";"-22.62588751828204";"167.68710346310368"
"2097658862";"-20.728255151072894";"170.39431655982943"
"2098996655";"-21.288014018017233";"167.97388975825808"
"2100334448";"-21.058427909347817";"156.7036495787983"
"2101672240";"-21.137457953641437";"158.453996805517"
"2103010033";"-20.038318169224922";"158.13526680466114"
