"Freq [GHz]","dB(S(1,1)) []"
2,-17.6100938509546
2.00066666666667,-17.655464181681
2.00133333333333,-17.7010176319917
2.002,-17.7467540188259
2.00266666666667,-17.7926731149616
2.00333333333333,-17.8387746471185
2.004,-17.8850582939945
2.00466666666667,-17.9315236842305
2.00533333333333,-17.9781703943034
2.006,-18.0249979463447
2.00666666666667,-18.0720058058818
2.00733333333333,-18.1191933794995
2.008,-18.1665600124216
2.00866666666667,-18.2141049860064
2.00933333333333,-18.2618275151574
2.01,-18.3097267456443
2.01066666666667,-18.3578017513329
2.01133333333333,-18.4060515313208
2.012,-18.4544750069773
2.01266666666667,-18.5030710188838
2.01333333333333,-18.5518383236724
2.014,-18.6007755907616
2.01466666666667,-18.6498813989837
2.01533333333333,-18.6991542331045
2.016,-18.7485924802301
2.01666666666667,-18.7981944261001
2.01733333333333,-18.8479582512639
2.018,-18.8978820271377
2.01866666666667,-18.9479637119405
2.01933333333333,-18.9982011465051
2.02,-19.0485920499651
2.02066666666667,-19.0991340153114
2.02133333333333,-19.1498245048206
2.022,-19.2006608453507
2.02266666666667,-19.2516402235027
2.02333333333333,-19.302759680648
2.024,-19.3540161078191
2.02466666666667,-19.4054062404621
2.02533333333333,-19.456926653052
2.026,-19.5085737535684
2.02666666666667,-19.5603437778322
2.02733333333333,-19.6122327837034
2.028,-19.6642366451403
2.02866666666667,-19.7163510461214
2.02933333333333,-19.7685714744301
2.03,-19.8208932153065
2.03066666666667,-19.8733113449653
2.03133333333333,-19.9258207239862
2.032,-19.9784159905781
2.03266666666667,-20.0310915537221
2.03333333333333,-20.0838415861982
2.034,-20.1366600175022
2.03466666666667,-20.1895405266585
2.03533333333333,-20.2424765349365
2.036,-20.2954611984804
2.03666666666667,-20.34848740086
2.03733333333333,-20.4015477455551
2.038,-20.4546345483845
2.03866666666667,-20.5077398298924
2.03933333333333,-20.5608553077077
2.04,-20.6139723888918
2.04066666666667,-20.6670821622913
2.04133333333333,-20.7201753909164
2.042,-20.7732425043636
2.04266666666667,-20.8262735913065
2.04333333333333,-20.8792583920781
2.044,-20.9321862913706
2.04466666666667,-20.9850463110806
2.04533333333333,-21.0378271033295
2.046,-21.090516943691
2.04666666666667,-21.14310372466
2.04733333333333,-21.1955749493979
2.048,-21.2479177257947
2.04866666666667,-21.3001187608857
2.04933333333333,-21.3521643556684
2.05,-21.4040404003618
2.05066666666667,-21.4557323701578
2.05133333333333,-21.5072253215119
2.052,-21.5585038890265
2.05266666666667,-21.6095522829789
2.05333333333333,-21.6603542875505
2.054,-21.7108932598142
2.05466666666667,-21.7611521295388
2.05533333333333,-21.8111133998718
2.056,-21.8607591489618
2.05666666666667,-21.9100710325837
2.05733333333333,-21.9590302878308
2.058,-22.0076177379379
2.05866666666667,-22.0558137983001
2.05933333333333,-22.1035984837509
2.06,-22.150951417165
2.06066666666667,-22.1978518394454
2.06133333333333,-22.2442786209588
2.062,-22.2902102744752
2.06266666666667,-22.3356249696698
2.06333333333333,-22.3805005492383
2.064,-22.4248145466746
2.06466666666667,-22.4685442057542
2.06533333333333,-22.5116665017628
2.066,-22.5541581644999
2.06666666666667,-22.595995703085
2.06733333333333,-22.6371554325821
2.068,-22.6776135024523
2.06866666666667,-22.7173459268329
2.06933333333333,-22.7563286166352
2.07,-22.7945374134373
2.07066666666667,-22.8319481251414
2.07133333333333,-22.8685365633499
2.072,-22.9042785824048
2.07266666666667,-22.9391501200196
2.07333333333333,-22.9731272394201
2.074,-23.0061861728976
2.07466666666667,-23.0383033666635
2.07533333333333,-23.069455526879
2.076,-23.099619666723
2.07666666666667,-23.1287731543437
2.07733333333333,-23.1568937615286
2.078,-23.183959712915
2.07866666666667,-23.2099497355487
2.07933333333333,-23.2348431085908
2.08,-23.2586197129582
2.08066666666667,-23.2812600806802
2.08133333333333,-23.3027454437393
2.082,-23.3230577821646
2.08266666666667,-23.3421798711379
2.08333333333333,-23.3600953268713
2.084,-23.376788651016
2.08466666666667,-23.3922452733608
2.08533333333333,-23.4064515925848
2.086,-23.4193950148333
2.08666666666667,-23.4310639898937
2.08733333333333,-23.4414480447589
2.088,-23.4505378143776
2.08866666666667,-23.4583250694037
2.08933333333333,-23.4648027407753
2.09,-23.4699649409698
2.09066666666667,-23.4738069818006
2.09133333333333,-23.476325388645
2.092,-23.477517911009
2.09266666666667,-23.4773835293653
2.09333333333333,-23.4759224582166
2.094,-23.4731361453673
2.09466666666667,-23.4690272674074
2.09533333333333,-23.4635997214362
2.096,-23.4568586130822
2.09666666666667,-23.4488102408926
2.09733333333333,-23.4394620771939
2.098,-23.4288227455436
2.09866666666667,-23.4169019949145
2.09933333333333,-23.403710670772
2.1,-23.3892606832199
2.10066666666667,-23.37356497241
2.10133333333333,-23.3566374714179
2.102,-23.3384930668042
2.10266666666667,-23.3191475570872
