"Frequency";"S11-Gain (dB)";"S11-Phase (°)"
"1.8e+09";"-17.229588858630194";"-104.0888361685014"
"1801750000";"-19.099513691163498";"-133.2193396883027"
"1803500000";"-13.625436458585938";"-101.7174909881373"
"1805250000";"-14.164733885421724";"-155.38612320487513"
"1.807e+09";"-13.628336524038405";"-143.29167683707257"
"1808750000";"-17.068308690660817";"-131.78496048928986"
"1810500000";"-11.070985050282353";"-143.43987910514167"
"1812250000";"-13.380832890337347";"-148.6745586468385"
"1.814e+09";"-10.529988230266847";"-142.63930852736988"
"1815750000";"-12.632253821133087";"-142.09484907871416"
"1817500000";"-11.701631771097123";"-146.6107584218896"
"1819250000";"-8.11378899374613";"-154.62562307777975"
"1.821e+09";"-10.26960557637253";"-138.01121297127378"
"1822750000";"-10.279956824309345";"-137.57168388839463"
"1824500000";"-7.77435781624744";"-134.95305136378818"
"1826250000";"-7.165664917177393";"-125.62715227214873"
"1.828e+09";"-6.999637074702899";"-131.6169537646308"
"1829750000";"-7.4595294285229885";"-144.4722571119308"
"1831500000";"-5.8361136361761226";"-121.70441361084266"
"1833250000";"-6.724887089928847";"-108.90824026863088"
"1.835e+09";"-5.984253581716859";"-119.22664546604582"
"1836750000";"-6.145413568490262";"-122.9643364103415"
"1838500000";"-6.1958894486769545";"-115.88257640941572"
"1840250000";"-6.344612450590553";"-111.52989373260387"
"1.842e+09";"-5.670672128317001";"-116.66201349622855"
"1843750000";"-7.146470041507947";"-101.75246227624261"
"1845500000";"-5.124166002354977";"-108.31423627999591"
"1847250000";"-6.011849741978757";"-109.62363250077182"
"1.849e+09";"-4.970056869037473";"-90.81305551422662"
"1850750000";"-5.124216871227024";"-94.86876505905458"
"1852500000";"-7.408085155319263";"-103.21306005948779"
"1854250000";"-9.22819208894416";"-104.38232728588676"
"1.856e+09";"-7.6842114038866";"-106.82039110895371"
"1857750000";"-7.784072586581469";"-101.61661586128767"
"1859500000";"-6.394402451082036";"-97.87714005438448"
"1861250000";"-6.140912291765856";"-100.37017030727182"
"1.863e+09";"-7.358489833528444";"-76.71738055104846"
"1864750000";"-5.8006299918954";"-90.1287903348218"
"1866500000";"-9.160405379177876";"-85.68638067130009"
"1868250000";"-8.69449899604583";"-76.81404352492011"
"1.87e+09";"-8.357802638400528";"-68.89227953759747"
"1871750000";"-7.4415633494447055";"-69.3987475703927"
"1873500000";"-14.913258592093669";"-48.76315162207233"
"1875250000";"-13.42165244208652";"-47.25741019193939"
"1.877e+09";"-12.956874854717421";"-58.98087891108042"
"1878750000";"-11.760390913330891";"-89.38862924623147"
"1880500000";"-19.38832174632812";"-97.13598716138894"
"1882250000";"-12.162827669596554";"-72.6773233056414"
"1.884e+09";"-17.95404669945518";"-68.73886555689359"
"1885750000";"-17.130490141111366";"-90.88178590219943"
"1887500000";"-28.242087238945878";"-156.69415235601392"
"1889250000";"-20.980898480510064";"-62.093141371202535"
"1.891e+09";"-21.413900832340662";"-46.5820209197034"
"1892750000";"-18.026325536556676";"-173.4920063107569"
"1894500000";"-31.057119636862875";"143.0974496577458"
"1896250000";"-16.33597232076894";"128.48679213815325"
"1.898e+09";"-17.449454868306255";"165.07762026691984"
"1899750000";"-16.76882578248645";"-177.81271557091893"
"1901500000";"-13.377399847685215";"167.81942602420827"
"1903250000";"-14.324143758486654";"164.46407496791676"
"1.905e+09";"-16.303238045120928";"-165.45648664934535"
"1906750000";"-15.014670736320683";"-156.10957889632206"
"1908500000";"-10.64525882666009";"-174.3327036134483"
"1910250000";"-9.635743329097634";"-178.7218965959611"
"1.912e+09";"-12.034356517310393";"-175.90359666890478"
"1913750000";"-11.334049294604993";"-175.41481920995187"
"1915500000";"-9.270866687395195";"-159.66748097244889"
"1917250000";"-10.457170656274844";"-160.2525611027859"
"1.919e+09";"-9.605054570377952";"-179.87604291902454"
"1920750000";"-9.260237823846403";"-139.8963801076446"
"1922500000";"-7.567162614814185";"-147.2415738509764"
"1924250000";"-8.40087833951777";"-139.3249197953045"
"1.926e+09";"-8.190023735508563";"-156.69578744926943"
"1927750000";"-6.44441000026089";"-148.63760097322717"
"1929500000";"-8.73627696159246";"-143.36143664510132"
"1931250000";"-8.53956538558365";"-139.7014124617"
"1.933e+09";"-6.762099274950727";"-143.46018040078542"
"1934750000";"-7.856531648113659";"-140.26069686316967"
"1936500000";"-6.755465894240792";"-126.90754943680801"
"1938250000";"-7.615897508838207";"-129.65630421492386"
"1.94e+09";"-9.735224182317557";"-133.4769334500786"
"1941750000";"-8.25183037340457";"-128.78684796708995"
"1943500000";"-9.106227311809999";"-122.89475293900043"
"1945250000";"-6.50782236589396";"-136.1791018327955"
"1.947e+09";"-6.5548197837294895";"-112.31921323657905"
"1948750000";"-6.761049516368786";"-123.51772945435131"
"1950500000";"-7.554578225381874";"-121.44750267653507"
"1952250000";"-6.321625014390123";"-89.69563794125278"
"1.954e+09";"-8.980067819830014";"-113.35055127536653"
"1955750000";"-11.743738252822169";"-93.18979543281392"
"1957500000";"-7.85146048916189";"-114.24355447552627"
"1959250000";"-8.748586401458313";"-92.02442731969836"
"1.961e+09";"-9.973189413139888";"-84.05080208107654"
"1962750000";"-14.58545574161711";"-61.590003518087826"
"1964500000";"-12.380835000542447";"-64.95803323147584"
"1966250000";"-19.63275981791523";"-63.352353920649314"
"1.968e+09";"-12.551947828787737";"-71.55644797473906"
"1969750000";"-11.154181553130428";"-65.38430336667777"
"1971500000";"-14.605186489103332";"-41.997416596060724"
"1973250000";"-15.376946072143431";"-69.57376704889614"
"1.975e+09";"-14.355632316517584";"-85.60378508221687"
"1976750000";"-15.159930294404163";"-80.09833145266545"
"1978500000";"-17.671893812587133";"-13.80437322379907"
"1980250000";"-21.95596861642126";"40.62191659218166"
"1.982e+09";"-23.177321797792278";"-3.0873308100618613"
"1983750000";"-24.717002277332835";"107.816739977445"
"1985500000";"-33.7977853539933";"-162.8362388231555"
"1987250000";"-30.915032786006037";"153.34379088052387"
"1.989e+09";"-17.622866907767694";"122.59739923227605"
"1990750000";"-22.824447854453727";"-151.95377850979105"
"1992500000";"-15.78444576726628";"113.76671597484656"
"1994250000";"-21.811090282756062";"175.19891810086014"
"1.996e+09";"-16.20768923792369";"168.96844768434147"
"1997750000";"-12.687699861727623";"154.46549967293404"
"1999500000";"-11.822372651077504";"150.07504461815617"
"2001250000";"-9.743021379808717";"162.1321002928831"
"2.003e+09";"-10.311714659260707";"147.17278266689019"
"2004750000";"-11.752788654405954";"144.7396964344971"
"2006500000";"-13.177321787587887";"155.51923326091685"
"2008250000";"-11.900825344815214";"172.43413707758185"
"2.01e+09";"-10.585433912209643";"152.6135417947096"
"2011750000";"-11.760171532106225";"171.9095147432512"
"2013500000";"-10.804723497289219";"-178.33817316153144"
"2015250000";"-9.781037000586943";"158.66530702962768"
"2.017e+09";"-10.755718773998824";"-170.140067646052"
"2018750000";"-10.428174600713724";"169.40938532519743"
"2020500000";"-9.930958024797928";"-153.08489665958533"
"2022250000";"-9.712562551983066";"-171.13984716350336"
"2.024e+09";"-9.518164796494453";"-145.81971174293338"
"2025750000";"-13.625770131418564";"-169.1137543717896"
"2027500000";"-12.019719748895126";"-168.49315124213777"
"2029250000";"-13.319994996567797";"-166.72912337716187"
"2.031e+09";"-7.612666919256167";"-157.63474129219554"
"2032750000";"-9.402511727365043";"-155.63940966416018"
"2034500000";"-10.433846690546938";"-140.95156067056155"
"2036250000";"-9.371290239198661";"-149.89904667250136"
"2.038e+09";"-9.490490870016453";"-148.7124778089322"
"2039750000";"-11.250648197513334";"-163.37528269709355"
"2041500000";"-7.91754402407559";"-142.13858865513063"
"2043250000";"-9.943681487230538";"-121.14891191189952"
"2.045e+09";"-7.945009331878296";"-119.71790562277211"
"2046750000";"-11.881810168927702";"-117.12982720730385"
"2048500000";"-9.68165410002736";"-128.23242465863018"
"2050250000";"-10.933056460326148";"-122.87451596198689"
"2.052e+09";"-12.400349357974072";"-115.82600858729053"
"2053750000";"-10.733846914880253";"-119.6775144216665"
"2055500000";"-13.732637078709002";"-102.49803848574012"
"2057250000";"-13.678170730126556";"-106.296217336809"
"2.059e+09";"-15.521745173390332";"-77.42406612095525"
"2060750000";"-15.570911267040117";"-71.78613371176603"
"2062500000";"-16.7721883969003";"-95.16404478973088"
"2064250000";"-14.855879184733654";"-74.0693780412389"
"2.066e+09";"-20.50447256511142";"-66.30268517173876"
"2067750000";"-14.413711293081434";"-83.96229393505051"
"2069500000";"-23.39560145643749";"-38.57391541724535"
"2071250000";"-30.64341377799888";"1.672715246535655"
"2.073e+09";"-27.49391156899394";"-49.09713021015108"
"2074750000";"-19.18108324298901";"-45.61610507232373"
"2076500000";"-18.40234179907172";"74.8159204914124"
"2078250000";"-18.24035990868319";"-0.1591423358875635"
"2.08e+09";"-21.916563675252263";"38.701957445872154"
"2081750000";"-18.300310297027355";"30.841383952602694"
"2083500000";"-14.844185861168697";"69.32975203357145"
"2085250000";"-18.84511296910746";"51.9223291325789"
"2.087e+09";"-18.273176535518143";"117.67851481513316"
"2088750000";"-19.425665021780297";"89.55609496168238"
"2090500000";"-17.059488112958288";"68.68400477611867"
"2092250000";"-20.023568888974815";"107.7201264790603"
"2.094e+09";"-14.543799343583835";"98.23390756588606"
"2095750000";"-16.336524234911515";"137.59857673648668"
