"Freq [GHz]","dB(S(1,1)) []"
2,-17.6100938509546
2.00066666666667,-17.6539748243792
2.00133333333333,-17.6980885669937
2.002,-17.7424359530454
2.00266666666667,-17.7870177530604
2.00333333333333,-17.8318346282869
2.004,-17.8768871251853
2.00466666666667,-17.9221756699836
2.00533333333333,-17.9677005633157
2.006,-18.0134619749635
2.00666666666667,-18.0594599387175
2.00733333333333,-18.1056943473746
2.008,-18.1521649478896
2.00866666666667,-18.198871336693
2.00933333333333,-18.2458129551919
2.01,-18.2929890854633
2.01066666666667,-18.340398846153
2.01133333333333,-18.3880411885859
2.012,-18.4359148930991
2.01266666666667,-18.4840185655976
2.01333333333333,-18.53235063434
2.014,-18.5809093469523
2.01466666666667,-18.6296927676698
2.01533333333333,-18.6786987748023
2.016,-18.7279250584185
2.01666666666667,-18.7773691182392
2.01733333333333,-18.8270282617322
2.018,-18.8768996023937
2.01866666666667,-18.9269800582042
2.01933333333333,-18.9772663502418
2.02,-19.0277550014364
2.02066666666667,-19.0784423354436
2.02133333333333,-19.1293244756206
2.022,-19.1803973440799
2.02266666666667,-19.2316566607996
2.02333333333333,-19.2830979427669
2.024,-19.3347165031304
2.02466666666667,-19.3865074503381
2.02533333333333,-19.438465687236
2.026,-19.4905859101038
2.02666666666667,-19.5428626076056
2.02733333333333,-19.5952900596302
2.028,-19.6478623360015
2.02866666666667,-19.7005732950372
2.02933333333333,-19.7534165819361
2.03,-19.8063856269771
2.03066666666667,-19.8594736435117
2.03133333333333,-19.9126736257373
2.032,-19.9659783462376
2.03266666666667,-20.0193803532797
2.03333333333333,-20.0728719678595
2.034,-20.1264452804901
2.03466666666667,-20.1800921477277
2.03533333333333,-20.2338041884359
2.036,-20.2875727797878
2.03666666666667,-20.341389053011
2.03733333333333,-20.3952438888801
2.038,-20.4491279129682
2.03866666666667,-20.5030314906665
2.03933333333333,-20.5569447219866
2.04,-20.610857436164
2.04066666666667,-20.6647591860792
2.04133333333333,-20.7186392425219
2.042,-20.7724865883191
