Phi[deg],Theta[deg],dB10normalize(GainTotal)
-180,0,-7.71462e-15
-178,0,-7.71462e-15
-176,0,-6.26813e-15
-174,0,-7.71462e-15
-172,0,-4.33947e-15
-170,0,-4.33947e-15
-168,0,-7.71462e-15
-166,0,-6.26813e-15
-164,0,-6.26813e-15
-162,0,-4.33947e-15
-160,0,-6.26813e-15
-158,0,-6.26813e-15
-156,0,-4.33947e-15
-154,0,-2.41082e-15
-152,0,-9.64327e-16
-150,0,-2.41082e-15
-148,0,-2.41082e-15
-146,0,-2.41082e-15
-144,0,-2.41082e-15
-142,0,-2.41082e-15
-140,0,-2.41082e-15
-138,0,-4.33947e-15
-136,0,-1.92865e-15
-134,0,-3.37515e-15
-132,0,-5.3038e-15
-130,0,-1.92865e-15
-128,0,-1.92865e-15
-126,0,-1.92865e-15
-124,0,0
-122,0,-1.92865e-15
-120,0,-1.92865e-15
-118,0,-3.37515e-15
-116,0,-1.92865e-15
-114,0,-3.37515e-15
-112,0,-3.37515e-15
-110,0,-3.37515e-15
-108,0,-3.37515e-15
-106,0,-1.92865e-15
-104,0,-5.3038e-15
-102,0,-5.3038e-15
-100,0,-5.3038e-15
-98,0,-3.37515e-15
-96,0,-3.37515e-15
-94,0,-3.37515e-15
-92,0,-3.37515e-15
-90,0,-3.37515e-15
-88,0,-1.92865e-15
-86,0,-1.92865e-15
-84,0,-1.92865e-15
-82,0,-3.37515e-15
-80,0,-3.37515e-15
-78,0,-3.37515e-15
-76,0,-3.37515e-15
-74,0,-3.37515e-15
-72,0,-3.37515e-15
-70,0,-3.37515e-15
-68,0,-3.37515e-15
-66,0,-3.37515e-15
-64,0,-3.37515e-15
-62,0,-3.37515e-15
-60,0,-1.92865e-15
-58,0,-3.37515e-15
-56,0,-3.37515e-15
-54,0,-5.3038e-15
-52,0,-5.3038e-15
-50,0,-6.26813e-15
-48,0,-6.26813e-15
-46,0,-6.26813e-15
-44,0,-4.33947e-15
-42,0,-4.33947e-15
-40,0,-9.64327e-16
-38,0,-4.33947e-15
-36,0,-6.26813e-15
-34,0,-6.26813e-15
-32,0,-4.33947e-15
-30,0,-2.41082e-15
-28,0,-4.33947e-15
-26,0,-4.33947e-15
-24,0,-4.33947e-15
