"Theta [deg]","dB(GainTotal) [] - Freq='1.09GHz' Phi='0deg'","dB(GainTotal) [] - Freq='1.09GHz' Phi='90deg'"
-180,-30.2516253407584,-30.2516253407584
-179,-30.1106373284506,-30.1974555765948
-178,-29.9700627974238,-30.1510716976847
-177,-29.8295708386996,-30.1119986830283
-176,-29.6889270164094,-30.0795563834612
-175,-29.5479919314283,-30.0528761080716
-174,-29.4067185210782,-30.03091454552
-173,-29.2651503064129,-30.0124697011277
-172,-29.1234215551368,-29.9962037514368
-171,-28.9817591222871,-29.9806771801322
-170,-28.8404847899132,-29.9643972229877
-169,-28.7000163839176,-29.9458815589108
-168,-28.5608658331269,-29.9237355286606
-167,-28.4236326008917,-29.8967383141611
-166,-28.2889914569584,-29.8639309999522
-165,-28.1576742380315,-29.8246978456705
-164,-28.0304459434125,-29.7788318790321
-163,-27.9080761214732,-29.7265772147109
-162,-27.7913069463006,-29.6686430457929
-161,-27.6808196166914,-29.6061874180553
-160,-27.5772007211688,-29.5407719224389
-159,-27.4809100289917,-29.4742907098513
-158,-27.3922508530821,-29.4088784804
-157,-27.3113437881589,-29.3468024586906
-156,-27.2381043847518,-29.2903432399679
-155,-27.1722253106143,-29.2416692370558
-154,-27.1131638781658,-29.2027096029528
-153,-27.0601365063807,-29.1750310577888
-152,-27.0121226406862,-29.1597249186764
-151,-26.9678816206278,-29.1573115935371
-150,-26.9259865531376,-29.1676705702131
-149,-26.8848789164876,-29.1900041956262
-148,-26.8429459273511,-29.2228429577427
-147,-26.7986194414677,-29.264098211505
-146,-26.7504905916703,-29.3111650565983
-145,-26.6974293709716,-29.3610733320491
-144,-26.6386943473537,-29.4106788002217
-143,-26.5740161991688,-29.4568804278115
-142,-26.5036408582923,-29.496844534403
-141,-26.4283237460634,-29.5282138393821
-140,-26.3492746035797,-29.5492800190281
-139,-26.268060560999,-29.5591023489844
-138,-26.1864810983779,-29.5575615003502
-137,-26.1064309795719,-29.5453451845908
-136,-26.0297659460522,-29.5238697284671
-135,-25.9581819765607,-29.4951478539152
-134,-25.8931139111012,-29.4616174619255
-133,-25.8356548225919,-29.425948876019
-132,-25.7864947955749,-29.3908486935826
-131,-25.7458771325655,-29.3588771258291
-130,-25.7135711999746,-29.3322927014343
-129,-25.6888634254447,-29.3129339762847
-128,-25.6705703894832,-29.3021431552444
-127,-25.6570794795548,-29.3007320348268
-126,-25.6464222859723,-29.3089869895231
-125,-25.6363832440235,-29.3267071455473
-124,-25.6246409658384,-29.3532684401118
-123,-25.6089330379579,-29.387705784693
-122,-25.5872283851195,-29.4288057738393
-121,-25.5578867397542,-29.4752030327673
-120,-25.5197842648993,-29.5254741526027
-119,-25.4723888537188,-29.5782240813563
-118,-25.4157772794327,-29.6321607751939
-117,-25.3505967979734,-29.6861548976301
-116,-25.2779829143901,-29.7392824449146
-115,-25.1994503104166,-29.7908494088488
-114,-25.1167744644615,-29.8403989238979
-113,-25.0318780790658,-29.8877026555482
-112,-24.9467309743583,-29.9327392858748
-111,-24.863266672813,-29.9756636626378
-110,-24.7833149432139,-30.0167703994885
-109,-24.7085476271311,-30.0564554643358
-108,-24.6404348872163,-30.095178698865
-107,-24.5802099068002,-30.1334294649846
-106,-24.5288412836287,-30.1716968983035
-105,-24.4870133332838,-30.2104456856924
-104,-24.4551149709823,-30.2500979032655
-103,-24.4332377549913,-30.2910211988218
-102,-24.4211832018238,-30.3335233764408
-101,-24.4184788426436,-30.3778531359057
-100,-24.4244018916503,-30.4242062710383
-99,-24.4380089939418,-30.4727360396085
-98,-24.4581703920704,-30.5235657548606
-97,-24.4836070046979,-30.5768010428498
-96,-24.5129292941585,-30.6325388158863
-95,-24.5446773138374,-30.6908699766525
-94,-24.5773618451625,-30.751873292674
-93,-24.6095069241705,-30.815598801111
-92,-24.6396941996995,-30.8820404754219
-91,-24.6666093769268,-30.9510995916964
-90,-24.6890904573445,-31.0225420991
-89,-24.7061766405591,-31.0959551095872
-88,-24.717155736955,-31.1707091262934
-87,-24.7216069565116,-31.2459335433492
-86,-24.7194352302688,-31.3205129591157
-85,-24.710893016104,-31.3931106432265
-84,-24.6965859918747,-31.4622228752824
-83,-24.677460166238,-31.5262638674573
-82,-24.6547696022435,-31.5836760503571
-81,-24.6300258751983,-31.6330556023379
-80,-24.6049322264654,-31.6732795772689
-79,-24.5813067991379,-31.7036201381959
-78,-24.5610001216369,-31.723833886545
-77,-24.5458120620674,-31.7342195637964
-76,-24.5374128803293,-31.735643729272
-75,-24.5372719390101,-31.7295389669371
-74,-24.5465963367177,-31.7178807339776
-73,-24.5662804432354,-31.7031465224628
-72,-24.5968662626379,-31.6882557242168
-71,-24.6385139063247,-31.6764829177995
-70,-24.6909813566443,-31.6713338684409
-69,-24.7536132237769,-31.676374020497
-68,-24.8253393445807,-31.6950037995567
-67,-24.904685716146,-31.7301824876779
-66,-24.9898020870817,-31.7841113182728
-65,-25.0785120045303,-31.857896001984
-64,-25.1683914796566,-31.9512196035383
-63,-25.256880854312,-32.0620696908208
-62,-25.3414303037967,-32.1865790735023
-61,-25.419672705772,-32.3190536018173
-60,-25.4896093888724,-32.4522634692281
-59,-25.5497867279655,-32.5780502966131
-58,-25.5994375108568,-32.6882362253129
-57,-25.6385628466237,-32.7757157104677
-56,-25.667938747023,-32.8355014593737
-55,-25.6890445430557,-32.8654477765975
-54,-25.7039241699028,-32.8664412974386
-53,-25.7150018635137,-32.8420206599649
-52,-25.7248782273602,-32.7975787846646
-51,-25.7361306925618,-32.7394128213392
-50,-25.7511360485269,-32.6738736501416
-49,-25.7719249030823,-32.6067630131316
-48,-25.8000712660851,-32.5430022206216
-47,-25.8366164404416,-32.4865070743828
-46,-25.8820252709958,-32.4401684457632
-45,-25.9361737827909,-32.4058487388994
-44,-25.9983690493574,-32.3843424227211
-43,-26.0674033884836,-32.3752955995651
-42,-26.1416445568089,-32.3771215493364
-41,-26.2191609030701,-32.3869773552809
-40,-26.2978755943338,-32.4008749522109
-39,-26.3757380704911,-32.4139834152151
-38,-26.4508955733685,-32.421135503999
-37,-26.5218449627065,-32.4174851596692
-36,-26.5875465682819,-32.3991922234109
-35,-26.6474877158245,-32.3639679318462
-34,-26.7016923493335,-32.3113307000756
-33,-26.7506822272898,-32.2425027946713
-32,-26.7954018024626,-32.1599937512392
-31,-26.8371215122476,-32.0670123662995
-30,-26.8773328961045,-31.9668840725819
-29,-26.91764521024,-31.8626185574722
-28,-26.9596890476604,-31.7566993429629
-27,-27.0050295068339,-31.6510879545879
-26,-27.055090341791,-31.54737629997
-25,-27.1110909561618,-31.4469933417425
-24,-27.1739991594098,-31.3513760317547
-23,-27.2445032673517,-31.2620425274238
-22,-27.3230066745021,-31.1805462679887
-21,-27.4096462124171,-31.1083292801813
-20,-27.5043326875487,-31.0465210985914
-19,-27.6068085919956,-30.9957405483834
-18,-27.7167149290735,-30.9559523305457
-17,-27.833657216891,-30.9264140081259
-16,-27.9572606326925,-30.9057276188925
-15,-28.0872061369438,-30.8919884309132
-14,-28.2232429594919,-30.8830044438787
-13,-28.3651772720453,-30.8765465850888
-12,-28.5128411936823,-30.8705836131717
-11,-28.6660495159008,-30.8634594992201
-10,-28.8245530623507,-30.8539845931949
-9,-28.9879972688182,-30.8414322642943
-8,-29.155892690591,-30.8254543140615
-7,-29.3276013265803,-30.8059450610766
-6,-29.5023395995328,-30.7828913210935
-5,-29.679196179827,-30.7562428128703
-4,-29.857161030939,-30.7258272979677
-3,-30.0351612982832,-30.6913211223522
-2,-30.2120999338654,-30.6522727182296
-1,-30.3868940121905,-30.6081667497403
0,-30.5585111590366,-30.5585111590366
1,-30.726003922108,-30.502928375847
2,-30.8885428288513,-30.4412345506669
3,-31.0454490052149,-30.3734955455772
4,-31.1962264944424,-30.3000541039004
5,-31.3405930030724,-30.2215278197828
6,-31.4785061366863,-30.1387813733508
7,-31.610180842518,-30.0528786911944
8,-31.7360933209021,-29.9650214635146
