Phi[deg],Theta[deg],dB10normalize(GainTotal)
-180,0,-4.33947e-15
-178,0,-5.78596e-15
-176,0,-5.78596e-15
-174,0,-5.78596e-15
-172,0,-2.41082e-15
-170,0,-2.41082e-15
-168,0,-5.78596e-15
-166,0,-5.78596e-15
-164,0,-3.85731e-15
-162,0,-3.85731e-15
-160,0,-3.37515e-15
-158,0,-3.37515e-15
-156,0,-3.37515e-15
-154,0,0
-152,0,-3.85731e-15
-150,0,-5.78596e-15
-148,0,-5.78596e-15
-146,0,-5.78596e-15
-144,0,-5.78596e-15
-142,0,-5.78596e-15
-140,0,-3.85731e-15
-138,0,-5.78596e-15
-136,0,-3.85731e-15
-134,0,-4.82164e-16
-132,0,-3.85731e-15
-130,0,-3.85731e-15
-128,0,-4.82164e-16
-126,0,-2.41082e-15
-124,0,-4.82164e-16
-122,0,-3.85731e-15
-120,0,-1.92865e-15
-118,0,-5.78596e-15
-116,0,-3.37515e-15
-114,0,-3.85731e-15
-112,0,-5.78596e-15
-110,0,-3.85731e-15
-108,0,-5.78596e-15
-106,0,-3.85731e-15
-104,0,-5.78596e-15
-102,0,-5.78596e-15
-100,0,-5.78596e-15
-98,0,-5.78596e-15
-96,0,-4.33947e-15
-94,0,-3.85731e-15
-92,0,-3.85731e-15
-90,0,-3.85731e-15
-88,0,-5.78596e-15
-86,0,-5.78596e-15
-84,0,-5.78596e-15
-82,0,-5.78596e-15
-80,0,-5.78596e-15
-78,0,-5.78596e-15
-76,0,-5.78596e-15
-74,0,-5.78596e-15
-72,0,-3.85731e-15
-70,0,-5.78596e-15
-68,0,-2.41082e-15
-66,0,-2.41082e-15
-64,0,-2.41082e-15
-62,0,-5.78596e-15
-60,0,-5.78596e-15
-58,0,-5.78596e-15
-56,0,-3.85731e-15
-54,0,-3.85731e-15
-52,0,-4.33947e-15
-50,0,-3.85731e-15
-48,0,-3.37515e-15
-46,0,-3.37515e-15
-44,0,-3.85731e-15
-42,0,-3.37515e-15
-40,0,-3.37515e-15
-38,0,-4.33947e-15
-36,0,-5.78596e-15
-34,0,-4.33947e-15
-32,0,-5.78596e-15
-30,0,-5.78596e-15
-28,0,-3.85731e-15
-26,0,-2.41082e-15
-24,0,-3.85731e-15
-22,0,-2.41082e-15
-20,0,-3.85731e-15
-18,0,-5.78596e-15
-16,0,-3.85731e-15
-14,0,-5.78596e-15
-12,0,-5.78596e-15
-10,0,-5.78596e-15
-8,0,-5.78596e-15
-6,0,-4.33947e-15
-4,0,-5.78596e-15
-2,0,-7.71462e-15
0,0,-5.78596e-15
2,0,-5.78596e-15
4,0,-5.78596e-15
6,0,-5.78596e-15
8,0,-5.78596e-15
10,0,-5.78596e-15
12,0,-2.41082e-15
14,0,-5.78596e-15
16,0,-5.78596e-15
18,0,-5.78596e-15
20,0,-3.37515e-15
22,0,-3.85731e-15
24,0,-5.78596e-15
26,0,-5.78596e-15
28,0,-5.78596e-15
30,0,-5.78596e-15
32,0,-5.78596e-15
34,0,-5.78596e-15
36,0,-3.85731e-15
38,0,-2.41082e-15
40,0,-3.85731e-15
42,0,-2.41082e-15
44,0,-5.78596e-15
46,0,-2.41082e-15
48,0,-3.85731e-15
50,0,-3.85731e-15
52,0,-2.41082e-15
54,0,-2.41082e-15
56,0,-2.41082e-15
58,0,-3.85731e-15
60,0,-5.78596e-15
62,0,-5.78596e-15
64,0,-5.78596e-15
66,0,-3.85731e-15
68,0,-5.78596e-15
70,0,-3.85731e-15
72,0,-5.78596e-15
74,0,-5.78596e-15
76,0,-5.78596e-15
78,0,-5.78596e-15
80,0,-4.33947e-15
82,0,-5.78596e-15
84,0,-4.33947e-15
86,0,-3.37515e-15
88,0,-2.41082e-15
90,0,-3.85731e-15
92,0,-3.85731e-15
94,0,-4.33947e-15
96,0,-3.85731e-15
98,0,-3.37515e-15
100,0,-4.33947e-15
102,0,-3.37515e-15
104,0,-3.37515e-15
106,0,-3.85731e-15
108,0,-4.33947e-15
110,0,-3.37515e-15
112,0,-3.85731e-15
114,0,-1.92865e-15
116,0,-4.33947e-15
118,0,-5.78596e-15
120,0,-3.37515e-15
122,0,-4.33947e-15
124,0,-4.33947e-15
126,0,-2.41082e-15
128,0,-2.41082e-15
130,0,-5.78596e-15
132,0,-5.78596e-15
134,0,-5.78596e-15
136,0,-2.41082e-15
138,0,-5.78596e-15
140,0,-4.33947e-15
142,0,-4.33947e-15
144,0,-5.78596e-15
146,0,-3.85731e-15
148,0,-3.85731e-15
150,0,-3.85731e-15
152,0,-3.85731e-15
154,0,-3.85731e-15
156,0,-3.85731e-15
158,0,-5.78596e-15
160,0,-3.85731e-15
162,0,-5.78596e-15
164,0,-3.85731e-15
166,0,-5.78596e-15
168,0,-5.78596e-15
170,0,-4.33947e-15
172,0,-4.33947e-15
174,0,-3.37515e-15
176,0,-4.33947e-15
178,0,-5.78596e-15
180,0,-4.33947e-15
-180,2,-0.00584426
-178,2,-0.00589257
-176,2,-0.00592804
-174,2,-0.00595072
-172,2,-0.00596072
-170,2,-0.00595824
-168,2,-0.00594353
-166,2,-0.00591693
-164,2,-0.00587882
-162,2,-0.00582968
-160,2,-0.00577001
-158,2,-0.0057004
-156,2,-0.00562149
-154,2,-0.00553397
-152,2,-0.00543858
-150,2,-0.00533609
-148,2,-0.00522734
-146,2,-0.00511318
-144,2,-0.0049945
-142,2,-0.00487222
-140,2,-0.00474729
-138,2,-0.00462065
-136,2,-0.00449327
-134,2,-0.00436614
-132,2,-0.00424022
-130,2,-0.00411649
-128,2,-0.00399592
-126,2,-0.00387944
-124,2,-0.003768
-122,2,-0.0036625
-120,2,-0.00356382
-118,2,-0.00347279
-116,2,-0.00339024
-114,2,-0.00331691
-112,2,-0.00325353
-110,2,-0.00320076
-108,2,-0.00315922
-106,2,-0.00312946
-104,2,-0.00311196
-102,2,-0.00310718
-100,2,-0.00311545
-98,2,-0.00313709
-96,2,-0.00317232
-94,2,-0.00322129
-92,2,-0.00328408
-90,2,-0.0033607
-88,2,-0.00345108
-86,2,-0.0035551
-84,2,-0.00367252
-82,2,-0.00380306
-80,2,-0.00394637
-78,2,-0.00410202
-76,2,-0.00426951
-74,2,-0.00444827
-72,2,-0.00463767
-70,2,-0.00483703
-68,2,-0.0050456
-66,2,-0.00526256
-64,2,-0.00548708
-62,2,-0.00571824
-60,2,-0.00595509
-58,2,-0.00619666
-56,2,-0.00644192
-54,2,-0.00668983
-52,2,-0.0069393
-50,2,-0.00718925
-48,2,-0.00743857
-46,2,-0.00768613
-44,2,-0.00793083
-42,2,-0.00817153
-40,2,-0.00840713
-38,2,-0.00863652
-36,2,-0.00885862
-34,2,-0.00907237
-32,2,-0.00927674
-30,2,-0.00947072
-28,2,-0.00965335
-26,2,-0.00982372
-24,2,-0.00998094
-22,2,-0.0101242
-20,2,-0.0102527
-18,2,-0.0103658
-16,2,-0.0104629
-14,2,-0.0105432
-12,2,-0.0106064
-10,2,-0.010652
-8,2,-0.0106796
-6,2,-0.010689
-4,2,-0.0106799
-2,2,-0.0106522
0,2,-0.0106058
2,2,-0.0105409
4,2,-0.0104574
6,2,-0.0103556
8,2,-0.0102358
10,2,-0.0100982
12,2,-0.00994336
14,2,-0.00977173
16,2,-0.00958389
18,2,-0.00938047
20,2,-0.00916219
22,2,-0.00892983
24,2,-0.00868421
26,2,-0.00842623
28,2,-0.00815684
30,2,-0.00787703
32,2,-0.00758784
34,2,-0.00729036
36,2,-0.00698569
38,2,-0.00667499
40,2,-0.00635942
42,2,-0.00604017
44,2,-0.00571846
46,2,-0.00539548
48,2,-0.00507247
50,2,-0.00475063
52,2,-0.00443117
54,2,-0.00411528
56,2,-0.00380414
58,2,-0.00349891
60,2,-0.00320069
62,2,-0.00291059
64,2,-0.00262965
66,2,-0.00235887
68,2,-0.00209922
70,2,-0.00185161
72,2,-0.00161688
74,2,-0.00139582
76,2,-0.00118916
78,2,-0.000997561
80,2,-0.000821616
82,2,-0.000661845
84,2,-0.000518693
86,2,-0.000392533
88,2,-0.000283657
90,2,-0.000192282
92,2,-0.000118547
94,2,-6.25103e-05
96,2,-2.41518e-05
98,2,-3.37355e-06
100,2,0
102,2,-1.37793e-05
104,2,-4.43847e-05
106,2,-9.14169e-05
108,2,-0.000154406
110,2,-0.000232813
112,2,-0.000326036
114,2,-0.00043341
116,2,-0.00055421
118,2,-0.000687659
120,2,-0.000832928
122,2,-0.000989142
124,2,-0.00115538
126,2,-0.0013307
128,2,-0.0015141
130,2,-0.00170457
132,2,-0.00190108
134,2,-0.00210257
136,2,-0.00230797
138,2,-0.00251622
140,2,-0.00272623
142,2,-0.00293695
144,2,-0.0031473
146,2,-0.00335624
148,2,-0.00356275
150,2,-0.00376581
152,2,-0.00396447
154,2,-0.00415778
156,2,-0.00434483
158,2,-0.00452478
160,2,-0.00469681
162,2,-0.00486017
164,2,-0.00501415
166,2,-0.00515811
168,2,-0.00529145
170,2,-0.00541366
172,2,-0.00552429
174,2,-0.00562294
176,2,-0.00570931
178,2,-0.00578314
180,2,-0.00584426
-180,4,-0.024394
-178,4,-0.0244735
-176,4,-0.0244958
-174,4,-0.0244615
-172,4,-0.024371
-170,4,-0.0242253
-168,4,-0.0240257
-166,4,-0.0237736
-164,4,-0.0234707
-162,4,-0.0231192
-160,4,-0.0227213
-158,4,-0.0222795
-156,4,-0.0217966
-154,4,-0.0212756
-152,4,-0.0207196
-150,4,-0.0201319
-148,4,-0.0195162
-146,4,-0.0188761
-144,4,-0.0182153
-142,4,-0.0175377
-140,4,-0.0168474
-138,4,-0.0161485
-136,4,-0.0154449
-134,4,-0.0147409
-132,4,-0.0140407
-130,4,-0.0133482
-128,4,-0.0126676
-126,4,-0.012003
-124,4,-0.0113583
-122,4,-0.0107374
-120,4,-0.0101439
-118,4,-0.00958162
-116,4,-0.00905386
-114,4,-0.00856395
-112,4,-0.00811498
-110,4,-0.00770984
-108,4,-0.0073512
-106,4,-0.0070415
-104,4,-0.00678295
-102,4,-0.00657748
-100,4,-0.00642676
-98,4,-0.0063322
-96,4,-0.0062949
-94,4,-0.00631571
-92,4,-0.00639515
-90,4,-0.00653346
-88,4,-0.0067306
-86,4,-0.00698619
-84,4,-0.00729959
-82,4,-0.00766983
-80,4,-0.00809569
-78,4,-0.00857563
-76,4,-0.00910785
-74,4,-0.00969026
-72,4,-0.0103205
-70,4,-0.0109961
-68,4,-0.011714
-66,4,-0.0124713
-64,4,-0.0132647
-62,4,-0.0140908
-60,4,-0.0149458
-58,4,-0.0158259
-56,4,-0.0167273
-54,4,-0.0176457
-52,4,-0.0185771
-50,4,-0.0195171
-48,4,-0.0204613
-46,4,-0.0214054
-44,4,-0.022345
-42,4,-0.0232755
-40,4,-0.0241927
-38,4,-0.025092
-36,4,-0.0259693
-34,4,-0.0268202
-32,4,-0.0276407
-30,4,-0.0284266
-28,4,-0.0291742
-26,4,-0.0298798
-24,4,-0.0305397
-22,4,-0.0311506
-20,4,-0.0317095
-18,4,-0.0322135
-16,4,-0.0326598
-14,4,-0.0330461
-12,4,-0.0333703
-10,4,-0.0336304
-8,4,-0.033825
-6,4,-0.0339528
-4,4,-0.0340129
-2,4,-0.0340045
0,4,-0.0339273
2,4,-0.0337813
4,4,-0.0335669
6,4,-0.0332846
8,4,-0.0329353
10,4,-0.0325203
12,4,-0.0320411
14,4,-0.0314995
16,4,-0.0308976
18,4,-0.0302379
20,4,-0.029523
22,4,-0.0287558
24,4,-0.0279395
26,4,-0.0270774
28,4,-0.0261732
30,4,-0.0252305
32,4,-0.0242535
34,4,-0.0232461
36,4,-0.0222127
38,4,-0.0211575
40,4,-0.0200852
42,4,-0.0190001
44,4,-0.0179069
46,4,-0.0168103
48,4,-0.0157148
50,4,-0.0146251
52,4,-0.0135457
54,4,-0.0124812
56,4,-0.0114361
58,4,-0.0104146
60,4,-0.00942115
62,4,-0.00845973
64,4,-0.00753432
66,4,-0.0066487
68,4,-0.00580645
70,4,-0.00501095
72,4,-0.00426536
74,4,-0.00357259
76,4,-0.00293532
78,4,-0.00235594
80,4,-0.00183659
82,4,-0.00137912
84,4,-0.000985093
86,4,-0.000655762
88,4,-0.000392089
90,4,-0.000194726
92,4,-6.40186e-05
94,4,0
96,4,-2.39597e-06
98,4,-7.06251e-05
100,4,-0.000203803
102,4,-0.000400745
104,4,-0.000659977
106,4,-0.000979738
108,4,-0.00135799
110,4,-0.00179244
112,4,-0.00228053
114,4,-0.00281947
116,4,-0.00340623
118,4,-0.00403759
120,4,-0.00471011
122,4,-0.0054202
124,4,-0.00616407
126,4,-0.00693783
128,4,-0.00773744
130,4,-0.00855877
132,4,-0.00939761
134,4,-0.0102497
136,4,-0.0111106
138,4,-0.0119761
140,4,-0.0128419
142,4,-0.0137035
144,4,-0.0145568
146,4,-0.0153976
148,4,-0.0162216
150,4,-0.0170249
152,4,-0.0178037
154,4,-0.0185541
156,4,-0.0192727
158,4,-0.0199559
160,4,-0.0206006
162,4,-0.0212038
164,4,-0.0217627
166,4,-0.0222749
168,4,-0.022738
170,4,-0.0231501
172,4,-0.0235094
174,4,-0.0238144
176,4,-0.0240641
178,4,-0.0242575
180,4,-0.024394
-180,6,-0.0558396
-178,6,-0.0559327
-176,6,-0.0558928
-174,6,-0.0557208
-172,6,-0.0554184
-170,6,-0.0549876
-168,6,-0.0544315
-166,6,-0.0537535
-164,6,-0.0529577
-162,6,-0.0520489
-160,6,-0.0510324
-158,6,-0.0499142
-156,6,-0.0487005
-154,6,-0.0473983
-152,6,-0.0460149
-150,6,-0.044558
-148,6,-0.0430358
-146,6,-0.0414567
-144,6,-0.0398294
-142,6,-0.0381629
-140,6,-0.0364663
-138,6,-0.034749
-136,6,-0.0330205
-134,6,-0.0312901
-132,6,-0.0295674
-130,6,-0.0278619
-128,6,-0.0261828
-126,6,-0.0245394
-124,6,-0.0229409
-122,6,-0.021396
-120,6,-0.0199132
-118,6,-0.0185009
-116,6,-0.017167
-114,6,-0.015919
-112,6,-0.0147639
-110,6,-0.0137084
-108,6,-0.0127587
-106,6,-0.0119205
-104,6,-0.0111986
-102,6,-0.0105978
-100,6,-0.0101218
-98,6,-0.00977396
-96,6,-0.00955696
-94,6,-0.00947279
-92,6,-0.0095228
-90,6,-0.00970768
-88,6,-0.0100275
-86,6,-0.0104815
-84,6,-0.0110684
-82,6,-0.0117864
-80,6,-0.0126326
-78,6,-0.0136039
-76,6,-0.0146963
-74,6,-0.0159054
-72,6,-0.017226
-70,6,-0.0186524
-68,6,-0.0201785
-66,6,-0.0217975
-64,6,-0.0235021
-62,6,-0.0252848
-60,6,-0.0271375
-58,6,-0.0290516
-56,6,-0.0310184
-54,6,-0.0330288
-52,6,-0.0350735
-50,6,-0.0371429
-48,6,-0.0392272
-46,6,-0.0413167
-44,6,-0.0434014
-42,6,-0.0454715
-40,6,-0.0475169
-38,6,-0.0495278
-36,6,-0.0514947
-34,6,-0.0534078
-32,6,-0.0552579
-30,6,-0.0570359
-28,6,-0.0587331
-26,6,-0.0603409
-24,6,-0.0618515
-22,6,-0.0632573
-20,6,-0.064551
-18,6,-0.0657262
-16,6,-0.0667766
-14,6,-0.067697
-12,6,-0.0684822
-10,6,-0.0691282
-8,6,-0.0696312
-6,6,-0.0699883
-4,6,-0.0701973
-2,6,-0.0702565
0,6,-0.0701651
2,6,-0.0699229
4,6,-0.0695305
6,6,-0.0689891
8,6,-0.0683007
10,6,-0.067468
12,6,-0.0664942
14,6,-0.0653835
16,6,-0.0641403
18,6,-0.0627702
20,6,-0.0612788
22,6,-0.0596727
24,6,-0.0579589
26,6,-0.0561448
28,6,-0.0542384
30,6,-0.0522481
32,6,-0.0501828
34,6,-0.0480514
36,6,-0.0458635
38,6,-0.0436287
40,6,-0.041357
42,6,-0.0390584
44,6,-0.036743
46,6,-0.0344212
48,6,-0.0321031
50,6,-0.029799
52,6,-0.0275191
54,6,-0.0252733
56,6,-0.0230715
58,6,-0.0209233
60,6,-0.0188381
62,6,-0.0168248
64,6,-0.0148922
66,6,-0.0130486
68,6,-0.0113017
70,6,-0.0096591
72,6,-0.00812754
74,6,-0.00671343
76,6,-0.00542255
78,6,-0.00426011
80,6,-0.00323072
82,6,-0.00233833
84,6,-0.00158626
86,6,-0.000977173
88,6,-0.000513047
90,6,-0.000195181
92,6,-2.41907e-05
94,6,0
96,6,-0.000121848
98,6,-0.000388292
100,6,-0.000797214
102,6,-0.00134583
104,6,-0.00203072
106,6,-0.00284782
108,6,-0.00379244
110,6,-0.00485934
112,6,-0.00604269
114,6,-0.00733612
116,6,-0.00873276
118,6,-0.0102253
120,6,-0.0118059
122,6,-0.0134665
124,6,-0.0151985
126,6,-0.0169931
128,6,-0.0188412
130,6,-0.0207333
132,6,-0.0226601
134,6,-0.0246117
136,6,-0.0265785
138,6,-0.0285507
140,6,-0.0305184
142,6,-0.0324719
144,6,-0.0344017
146,6,-0.036298
148,6,-0.0381518
150,6,-0.0399539
152,6,-0.0416956
154,6,-0.0433684
156,6,-0.0449642
158,6,-0.0464755
160,6,-0.0478949
162,6,-0.0492158
164,6,-0.050432
166,6,-0.0515377
168,6,-0.0525281
170,6,-0.0533985
172,6,-0.0541451
174,6,-0.0547647
176,6,-0.0552548
178,6,-0.0556135
180,6,-0.0558396
-180,8,-0.100189
-178,8,-0.100278
-176,8,-0.100126
-174,8,-0.0997344
-172,8,-0.099107
-170,8,-0.0982476
-168,8,-0.0971613
-166,8,-0.0958546
-164,8,-0.0943352
-162,8,-0.0926116
-160,8,-0.0906935
-158,8,-0.0885916
-156,8,-0.0863176
-154,8,-0.0838838
-152,8,-0.0813035
-150,8,-0.0785907
-148,8,-0.0757602
-146,8,-0.072827
-144,8,-0.069807
-142,8,-0.0667163
-140,8,-0.0635714
-138,8,-0.0603891
-136,8,-0.0571862
-134,8,-0.0539799
-132,8,-0.0507872
-130,8,-0.0476249
-128,8,-0.0445099
-126,8,-0.0414587
-124,8,-0.0384875
-122,8,-0.035612
-120,8,-0.0328476
-118,8,-0.0302091
-116,8,-0.0277106
-114,8,-0.0253654
-112,8,-0.0231864
-110,8,-0.0211852
-108,8,-0.019373
-106,8,-0.0177598
-104,8,-0.0163547
-102,8,-0.0151656
-100,8,-0.0141997
-98,8,-0.0134629
-96,8,-0.01296
-94,8,-0.0126946
-92,8,-0.0126693
-90,8,-0.0128854
-88,8,-0.0133431
-86,8,-0.0140414
-84,8,-0.0149781
-82,8,-0.0161498
-80,8,-0.0175522
-78,8,-0.0191795
-76,8,-0.0210249
-74,8,-0.0230808
-72,8,-0.0253381
-70,8,-0.0277871
-68,8,-0.0304168
-66,8,-0.0332156
-64,8,-0.0361708
-62,8,-0.0392689
-60,8,-0.0424959
-58,8,-0.0458368
-56,8,-0.0492762
-54,8,-0.052798
-52,8,-0.0563859
-50,8,-0.0600229
-48,8,-0.0636918
-46,8,-0.0673753
-44,8,-0.0710558
-42,8,-0.0747156
-40,8,-0.0783373
-38,8,-0.0819032
-36,8,-0.0853961
-34,8,-0.088799
-32,8,-0.0920952
-30,8,-0.0952685
-28,8,-0.0983033
-26,8,-0.101184
-24,8,-0.103898
-22,8,-0.106429
-20,8,-0.108766
-18,8,-0.110897
-16,8,-0.11281
-14,8,-0.114497
-12,8,-0.115947
-10,8,-0.117153
-8,8,-0.118109
-6,8,-0.118809
-4,8,-0.119249
-2,8,-0.119426
0,8,-0.119338
2,8,-0.118985
4,8,-0.118368
6,8,-0.117489
8,8,-0.116351
10,8,-0.11496
