"Freq [GHz]","dB(ActiveS(1:1)) []"
1,-0.371699052245367
1.01,-0.278892111596216
1.02,-0.22755399327791
1.03,-0.198335800085083
1.04,-0.182460177665214
1.05,-0.175761540954921
1.06,-0.176416443139946
1.07,-0.184075934037284
1.08,-0.199666270934422
1.09,-0.225691672028517
1.1,-0.267219231642224
1.11,-0.33424919982011
1.12,-0.447477215211796
1.13,-0.653317111029231
1.14,-1.06502937112999
1.15,-1.95185386150482
1.16,-3.44389570912305
1.17,-3.31463220646646
1.18,-1.85428934219656
1.19,-1.03597922700409
1.2,-0.65198261145124
1.21,-0.456396413692172
1.22,-0.34676371399507
1.23,-0.280413015222208
1.24,-0.237895826511418
1.25,-0.209513083890742
1.26,-0.190042315205635
1.27,-0.176488133278883
1.28,-0.167040763386782
1.29,-0.160559480633463
1.3,-0.156299906621124
1.31,-0.153762571515202
1.32,-0.152605192908339
1.33,-0.152589756496967
1.34,-0.153549848913551
1.35,-0.155369401829932
1.36,-0.157969151523058
1.37,-0.161297255935228
1.38,-0.165323502828262
1.39,-0.170035064484234
1.4,-0.175433760813699
1.41,-0.18153440749419
1.42,-0.188363750008974
1.43,-0.195960403668626
1.44,-0.20437470840138
1.45,-0.213669440751096
1.46,-0.22392103277152
1.47,-0.23522110214793
1.48,-0.247678734999243
1.49,-0.261423188433833
1.5,-0.276608044080912
1.51,-0.293416037348182
1.52,-0.312066259980393
1.53,-0.332822945427587
1.54,-0.356008352580071
1.55,-0.382021653511033
1.56,-0.41136547251171
1.57,-0.444688795402173
1.58,-0.482855522076175
1.59,-0.527061820720131
1.6,-0.579051289335046
1.61,-0.641532480442609
1.62,-0.719043015351938
1.63,-0.819836067338896
1.64,-0.959953973401228
1.65,-1.1694355702171
1.66,-1.47502057836714
1.67,-1.74254779460303
1.68,-1.73015155924736
1.69,-1.65651860926895
1.7,-1.68589621511909
1.71,-1.80417999178002
1.72,-1.98663776196655
1.73,-2.22155878612505
1.74,-2.50370104185748
1.75,-2.82837059798197
1.76,-3.18670809962552
1.77,-3.56117628892371
1.78,-3.92180938819994
1.79,-4.22593630683054
1.8,-4.42548613348058
1.81,-4.48302331959211
1.82,-4.38880337176008
1.83,-4.16551767384452
1.84,-3.85648651572821
1.85,-3.50763029149321
1.86,-3.15519808771941
1.87,-2.82228596651405
1.88,-2.52078576621798
1.89,-2.25494474587947
1.9,-2.02453174037432
1.91,-1.82705569986891
1.92,-1.65912839122124
1.93,-1.51722429290465
1.94,-1.39806564305308
1.95,-1.29879266465032
1.96,-1.21702005012808
1.97,-1.15083892987488
1.98,-1.09879892669874
1.99,-1.05988898183634
2,-1.03352914714347
2.01,-1.01958116438803
2.02,-1.01838576385126
2.03,-1.03083716091811
2.04,-1.0585092005381
2.05,-1.10385741184207
2.06,-1.17053523144497
2.07,-1.263888432661
2.08,-1.39173596313117
2.09,-1.56562339150479
2.1,-1.80287846474827
2.11,-2.13006576571353
2.12,-2.58895675671126
2.13,-3.24719343159261
2.14,-4.21821266426329
2.15,-5.70135809847115
2.16,-8.07433929596161
2.17,-12.1461288404627
2.18,-18.8151841576832
2.19,-15.2062538420518
2.2,-9.78039105162718
2.21,-6.72740345210424
2.22,-4.87349330793148
2.23,-3.68157771077666
2.24,-2.88428222798002
2.25,-2.33475680576012
2.26,-1.94772632407104
2.27,-1.67199427073707
2.28,-1.47634024578283
2.29,-1.3419872693437
2.3,-1.25863664233393
2.31,-1.2227014224988
2.32,-1.23724824111313
2.33,-1.31381393888737
2.34,-1.47697117112252
2.35,-1.77315911527704
2.36,-2.28322853493505
2.37,-3.11571516704147
2.38,-4.24258687016047
2.39,-4.94749350457393
2.4,-4.32137880872359
2.41,-3.13613672637955
2.42,-2.20578377951012
2.43,-1.60208794940257
2.44,-1.2172892450541
2.45,-0.964520423777924
2.46,-0.791590439631596
2.47,-0.668487312891415
2.48,-0.577683036575538
2.49,-0.508606057074347
2.5,-0.454649943663143
2.51,-0.411542162317297
2.52,-0.376431034127872
2.53,-0.347358168326217
2.54,-0.322944048142318
2.55,-0.30219471402079
2.56,-0.284379606880778
2.57,-0.268952394678838
2.58,-0.255498506719442
2.59,-0.243699659780078
2.6,-0.233309538772043
2.61,-0.224137018427342
2.62,-0.216034624755067
2.63,-0.208890852030918
2.64,-0.202625650672642
2.65,-0.197188694785892
2.66,-0.192560763076198
2.67,-0.188759088138973
2.68,-0.185848543228185
2.69,-0.183962370689456
2.7,-0.183338962235694
2.71,-0.184385958851949
2.72,-0.187787140000869
2.73,-0.194654037118595
2.74,-0.206602720246941
2.75,-0.225058950566053
2.76,-0.247617221926153
2.77,-0.261571192568625
2.78,-0.252758613852584
2.79,-0.228815762249272
2.8,-0.205653459894593
2.81,-0.188918688206122
2.82,-0.177959297902817
2.83,-0.171095560323545
2.84,-0.167065054085072
2.85,-0.165096284336416
2.86,-0.164763012549511
2.87,-0.165867430672543
2.88,-0.168374132311552
2.89,-0.172382631529219
2.9,-0.178129019655289
2.91,-0.186014668851523
2.92,-0.196667801658697
2.93,-0.211053363793727
2.94,-0.230659884448432
2.95,-0.257811699991843
2.96,-0.296169872184256
2.97,-0.351433224725231
2.98,-0.431830984688714
2.99,-0.546111180603827
3,-0.691314538931671
