"Freq [GHz]","dB(ActiveS(1:1)) []"
1,-1.52494295801077
1.01,-1.72506893064656
1.02,-1.94018931723927
1.03,-2.16056085222352
1.04,-2.37031105123649
1.05,-2.54802401458859
1.06,-2.67036281758532
1.07,-2.71870373715933
1.08,-2.68601470411495
1.09,-2.57964982998887
1.1,-2.4180645034355
1.11,-2.22389706727106
1.12,-2.0176858962254
1.13,-1.81461658870732
1.14,-1.62410490234917
1.15,-1.45089354749553
1.16,-1.29653101113878
1.17,-1.16064788882876
1.18,-1.04187047577975
1.19,-0.93840180801727
1.2,-0.848356814809077
1.21,-0.769940619762835
1.22,-0.701529044051947
1.23,-0.641695581771661
1.24,-0.589209466946481
1.25,-0.543019762975996
1.26,-0.502235624144776
1.27,-0.466100833673408
1.28,-0.433977554660218
1.29,-0.40532770226049
1.3,-0.379694007719621
1.31,-0.35668856775622
1.32,-0.335981620494973
1.33,-0.317291413109303
1.34,-0.300377544245845
1.35,-0.285033049227542
1.36,-0.271080021210166
1.37,-0.258364714014464
1.38,-0.246754016851533
1.39,-0.236132182041577
1.4,-0.226398498529718
1.41,-0.217464756148696
1.42,-0.209254060272711
1.43,-0.201698427689881
1.44,-0.194738470436641
1.45,-0.188321538971573
1.46,-0.182401138028156
1.47,-0.176936179790737
1.48,-0.171890284241215
1.49,-0.16723113311277
1.5,-0.162929893705171
1.51,-0.158961145183429
1.52,-0.155302336769041
1.53,-0.151933233377911
1.54,-0.148836065473814
1.55,-0.145995034864134
1.56,-0.143396435083903
1.57,-0.14102793165739
1.58,-0.138878983938617
1.59,-0.136940462466148
1.6,-0.135204569955328
1.61,-0.133664773995774
1.62,-0.132315795830247
1.63,-0.131153580813477
1.64,-0.130175137421321
1.65,-0.129378611379452
1.66,-0.128763409036909
1.67,-0.128329992156728
1.68,-0.128079995042002
1.69,-0.128016352532137
1.7,-0.128143282498241
1.71,-0.128466427969068
1.72,-0.128992935956748
1.73,-0.12973163362324
1.74,-0.130693160837907
1.75,-0.131890260473112
1.76,-0.133337942808086
1.77,-0.135053895841373
1.78,-0.137058767828896
1.79,-0.13937670388623
1.8,-0.142035844513091
1.81,-0.145069030534528
1.82,-0.148514604361506
1.83,-0.152417414067694
1.84,-0.156830040426186
1.85,-0.161814317531627
1.86,-0.167443231434877
1.87,-0.173803261117346
1.88,-0.1809973748728
1.89,-0.189148783450948
1.9,-0.198405786259678
1.91,-0.208947970519439
1.92,-0.220994229232431
1.93,-0.234813691457124
1.94,-0.250739389340631
1.95,-0.269187496258376
1.96,-0.290683104353481
1.97,-0.315895273326211
1.98,-0.345687152463473
1.99,-0.38118585487074
2,-0.423883853755402
2.01,-0.475788553363435
2.02,-0.539645045018072
2.03,-0.619279381176472
2.04,-0.720136837679845
2.05,-0.850150347042266
2.06,-1.02118101847467
2.07,-1.25149085827836
2.08,-1.57012401912289
2.09,-2.02499322427924
2.1,-2.69848129205502
2.11,-3.7394652254424
2.12,-5.43646662600414
2.13,-8.42877375268437
2.14,-14.7557950135262
2.15,-28.6740719343024
2.16,-12.0277313123556
2.17,-7.2942497359152
2.18,-4.85795439771718
2.19,-3.42964853325546
2.2,-2.53297985891513
2.21,-1.94124170646101
2.22,-1.53441695522866
2.23,-1.24484316766543
2.24,-1.03251286329381
2.25,-0.872796035240276
2.26,-0.749981805130038
2.27,-0.653727394888379
2.28,-0.577029809816799
2.29,-0.515026942405604
2.3,-0.464266511408121
2.31,-0.42224734284049
2.32,-0.38712439181268
2.33,-0.357514272721141
2.34,-0.33236435930275
2.35,-0.310862972173792
2.36,-0.29237666719949
2.37,-0.276405590018757
2.38,-0.262551383714457
2.39,-0.250493687058458
2.4,-0.239972726818563
2.41,-0.230776274167572
2.42,-0.222729797929775
2.43,-0.215688879947002
2.44,-0.209533373033648
2.45,-0.204162843104246
2.46,-0.199493031070208
2.47,-0.195452994174295
2.48,-0.191982836618181
2.49,-0.18903201284542
2.5,-0.186557654007095
2.51,-0.184523583967946
2.52,-0.182899381848251
2.53,-0.181659366679878
2.54,-0.180782220297168
2.55,-0.180250331294961
2.56,-0.180049407208701
2.57,-0.180168120409775
2.58,-0.180597844829105
2.59,-0.181332410489364
2.6,-0.182367919230956
2.61,-0.183702776368669
2.62,-0.185337205730194
2.63,-0.187273661633498
2.64,-0.189516440925129
2.65,-0.192071864944002
2.66,-0.194948239514316
2.67,-0.198155900569419
2.68,-0.201707324345856
2.69,-0.205617196887622
2.7,-0.209902572658731
2.71,-0.214583056174295
2.72,-0.219680948827323
2.73,-0.225221570460167
2.74,-0.231233373938016
2.75,-0.237748692041756
2.76,-0.244803556238602
2.77,-0.252438521151458
2.78,-0.260699101428441
2.79,-0.269636351121734
2.8,-0.279307729748965
2.81,-0.28977747379306
2.82,-0.301118179064035
2.83,-0.313411490784659
2.84,-0.326749614210946
2.85,-0.341236695519486
2.86,-0.356990784391141
2.87,-0.374145876844638
2.88,-0.392854432772649
2.89,-0.413290413701885
2.9,-0.435652802339877
2.91,-0.460169811747896
2.92,-0.487103949808832
2.93,-0.516758087544936
2.94,-0.549482755474624
2.95,-0.585684905222546
2.96,-0.625838538556589
2.97,-0.670497513952346
2.98,-0.720311213346264
2.99,-0.776043373155557
3,-0.838595163197277
