"Freq [GHz]","dB(ActiveS(1:1)) []"
1,-0.0260787808022106
1.01,-0.0272319502963485
1.02,-0.0284663446165174
1.03,-0.0297897804604277
1.04,-0.0312114115010484
1.05,-0.03274000059267
1.06,-0.0343878626068401
1.07,-0.0361673434767742
1.08,-0.0380931522227682
1.09,-0.0401813831657663
1.1,-0.0424514751466853
1.11,-0.0449249550087802
1.12,-0.047628033491174
1.13,-0.0505897350428836
1.14,-0.0538462089238041
1.15,-0.0574389642850514
1.16,-0.0614183469806758
1.17,-0.0658456896375454
1.18,-0.0707969559198252
1.19,-0.0763684493183664
1.2,-0.0826860253387331
1.21,-0.08992007071694
1.22,-0.0983170352214733
1.23,-0.108257896424164
1.24,-0.120393110799177
1.25,-0.135955899194169
1.26,-0.15741413461764
1.27,-0.188181587272549
1.28,-0.219103089360073
1.29,-0.225107837306639
1.3,-0.230094743627974
1.31,-0.248618585707045
1.32,-0.278297345337374
1.33,-0.318202703897117
1.34,-0.369723351960642
1.35,-0.436056490201534
1.36,-0.522437823703187
1.37,-0.637055751804645
1.38,-0.792878975421608
1.39,-1.011109321107
1.4,-1.3278911672335
1.41,-1.80797889271703
1.42,-2.57433196929954
1.43,-3.87766193191357
1.44,-6.28631253421277
1.45,-11.4609773144539
1.46,-35.5954691724677
1.47,-11.5229923143618
1.48,-6.35301738321974
1.49,-3.94773961494702
1.5,-2.64307044318628
1.51,-1.87301793263541
1.52,-1.38854333975336
1.53,-1.06747004938924
1.54,-0.84533719888436
1.55,-0.686060798136149
1.56,-0.568389751263642
1.57,-0.479246953702828
1.58,-0.410272074613061
1.59,-0.35594125125266
1.6,-0.312496979892794
1.61,-0.277320684058658
1.62,-0.248546833435803
1.63,-0.224822305550279
1.64,-0.205151759660997
1.65,-0.18879425936668
1.66,-0.175195624634325
1.67,-0.163941422448498
1.68,-0.154726260245502
1.69,-0.147332562730611
1.7,-0.141617466276327
1.71,-0.137506658043838
1.72,-0.134993981567735
1.73,-0.134147225054155
1.74,-0.135122980325111
1.75,-0.138191904143901
1.76,-0.143782299323557
1.77,-0.152551749183921
1.78,-0.165507116891537
1.79,-0.184211081622639
1.8,-0.211146994227758
1.81,-0.250390258205755
1.82,-0.308889896414806
1.83,-0.3989947212614
1.84,-0.543447287835132
1.85,-0.784219241128066
1.86,-1.18851467785011
1.87,-1.78389400199533
1.88,-2.23777739139042
1.89,-1.97372016494768
1.9,-1.36129511939756
1.91,-0.893694390758959
1.92,-0.607525722355804
1.93,-0.434718447155604
1.94,-0.326204692661323
1.95,-0.2547447772869
1.96,-0.205555272442777
1.97,-0.170365825332198
1.98,-0.144351137023479
1.99,-0.124575881874628
2,-0.109186741879985
2.01,-0.09697793406371
2.02,-0.0871517844104163
2.03,-0.0791835445790215
2.04,-0.0727137961802689
2.05,-0.0673463773615651
2.06,-0.0625578227409465
2.07,-0.0581707385892265
2.08,-0.0542830911649937
2.09,-0.050893851919244
2.1,-0.0479319243483293
2.11,-0.0453237597874021
2.12,-0.0430092757600062
2.13,-0.040941314721508
2.14,-0.0390826428190196
2.15,-0.0374034404180906
2.16,-0.0358794800460173
2.17,-0.0344908280134923
2.18,-0.0332209072683376
2.19,-0.0320558092638123
2.2,-0.0309837651461721
2.21,-0.0299947543826852
2.22,-0.0290801895791585
2.23,-0.028232668638684
2.24,-0.0274457898333484
2.25,-0.0267139802313364
2.26,-0.0260323819977046
2.27,-0.0253967353445232
2.28,-0.0248033019560215
2.29,-0.0242487938517579
2.3,-0.0237303115454668
2.31,-0.0232452992260931
2.32,-0.0227915054266503
2.33,-0.0223669466255297
2.34,-0.0219698838330775
2.35,-0.0215988016927441
2.36,-0.0212523881998544
2.37,-0.0209295226827751
2.38,-0.0206292688959958
2.39,-0.0203508651289381
2.4,-0.0200937244285476
2.41,-0.0198574316793489
2.42,-0.0196417613787401
2.43,-0.0194466504555726
2.44,-0.0192722542620917
2.45,-0.0191189610635052
2.46,-0.0189873841630597
2.47,-0.0188784261837978
2.48,-0.0187933176189749
2.49,-0.0187336739525769
2.5,-0.018701590368985
2.51,-0.018699718026798
2.52,-0.0187314277249787
2.53,-0.0188009827570232
2.54,-0.0189137824118502
2.55,-0.019076693670431
2.56,-0.0192985033313059
2.57,-0.0195905404727825
2.58,-0.0199675462453537
2.59,-0.0204489345475106
2.6,-0.0210605598284923
2.61,-0.0218373474194233
2.62,-0.0228272684874207
2.63,-0.0240972939166929
2.64,-0.0257426964871186
2.65,-0.027901786382251
2.66,-0.0307794089148753
2.67,-0.0346849246219254
2.68,-0.0400923869405321
2.69,-0.0477293905117569
2.7,-0.0586771069732833
2.71,-0.0743458651848673
2.72,-0.0957768770883745
2.73,-0.120939432321084
2.74,-0.140242478127025
2.75,-0.140419335277232
2.76,-0.121749276691877
2.77,-0.0974080312374425
2.78,-0.0765574968225693
2.79,-0.0611435248226533
2.8,-0.0502272864138642
2.81,-0.0425023540471111
2.82,-0.0369528069191285
2.83,-0.0328861862950159
2.84,-0.0298460431288858
2.85,-0.0275313049046921
2.86,-0.0257406572385682
2.87,-0.0243369791455757
2.88,-0.0232250457025954
2.89,-0.0223374330266257
2.9,-0.0216255707436429
2.91,-0.0210538819336791
2.92,-0.0205959403857158
2.93,-0.0202318631024787
2.94,-0.0199465430917886
2.95,-0.019728407459126
2.96,-0.0195685362479354
2.97,-0.0194600518596045
2.98,-0.0193976497319718
2.99,-0.0193772789562873
3,-0.019395896930636
